Scaffold ID, scaffold position, LG, genetic position
Ha412HOChr14,159901308,14,30.91
Ha412HOChr12,30556380,12,43.47
Ha412HOChr05,48019219,17,53.73
Ha412HOChr01,136528165,1,37.46
Ha412HOChr12,38394886,12,47.18
Ha412HOChr12,17822662,12,38.12
Ha412HOChr17,4880887,17,16.05
Ha412HOChr08,25876285,8,37.57
Ha412HOChr16,118085946,16,48.71
Ha412HOChr17,165599500,17,53.30
Ha412HOChr08,8240006,8,20.86
Ha412HOChr10,32265092,10,34.40
Ha412HOChr04,219104136,4,97.64
Ha412HOChr09,194790254,4,22.17
Ha412HOChr04,1635943,17,4.48
Ha412HOChr08,8336999,8,21.84
Ha412HOChr17,2621354,17,4.48
Ha412HOChr10,10704816,10,19.44
Ha412HOChr16,78927345,16,47.73
Ha412HOChr07,157213934,13,58.98
Ha412HOChr10,186056103,10,67.61
Ha412HOChr10,186608308,10,68.37
Ha412HOChr05,33759639,5,31.78
Ha412HOChr12,9807458,12,1.75
Ha412HOChr11,121719575,1,3.49
Ha412HOChr08,21573855,8,33.75
Ha412HOChr04,188753210,4,48.49
Ha412HOChr04,208917341,4,60.29
Ha412HOChr13,146470917,13,50.68
Ha412HOChr17,1307105,17,0.33
Ha412HOChr05,132306391,4,1.86
Ha412HOChr14,120689018,14,13.32
Ha412HOChr04,191057114,4,49.80
Ha412HOChr09,138644328,9,35.50
Ha412HOChr06,30881142,6,55.26
Ha412HOChr04,609785,4,1.86
Ha412HOChr16,35913068,16,45.76
Ha412HOChr11,28421727,11,41.07
Ha412HOChr10,187842385,10,75.25
Ha412HOChr11,179681388,6,55.48
Ha412HOChr12,30135479,12,42.81
Ha412HOChr10,190431681,10,86.17
Ha412HOChr01,94256125,1,26.43
Ha412HOChr15,10029061,12,55.59
Ha412HOChr08,2703574,10,25.56
Ha412HOChr16,197306249,16,66.29
Ha412HOChr01,136345950,1,37.46
Ha412HOChr04,174533764,4,44.89
Ha412HOChr16,210644778,16,87.37
Ha412HOChr14,126817387,10,25.56
Ha412HOChr14,112128485,10,25.56
Ha412HOChr01,147228050,10,25.56
Ha412HOChr04,198978867,4,54.06
Ha412HOChr11,8752536,11,26.21
Ha412HOChr10,18280125,10,25.56
Ha412HOChr03,81457509,3,28.07
Ha412HOChr04,30513605,4,35.28
Ha412HOChr03,171462432,3,74.38
Ha412HOChr11,197832769,11,96.44
Ha412HOChr02,175167744,2,41.39
Ha412HOChr14,172338956,14,37.46
Ha412HOChr01,63991257,12,1.31
Ha412HOChr06,10344094,6,30.25
Ha412HOChr10,115398111,17,16.05
Ha412HOChr10,31698737,10,34.40
Ha412HOChr10,25136815,10,32.00
Ha412HOChr12,9945298,12,1.31
Ha412HOChr09,159646306,9,45.54
Ha412HOChr14,96263255,14,6.12
Ha412HOChr17,4874817,17,16.05
Ha412HOChr04,200675969,4,55.15
Ha412HOChr12,173429129,12,60.51
Ha412HOChr03,114967755,3,33.31
Ha412HOChr01,81898558,17,16.05
Ha412HOChr09,109793704,9,24.03
Ha412HOChr17,82720979,4,21.84
Ha412HOChr15,60202729,15,52.10
Ha412HOChr15,23518487,15,38.88
Ha412HOChr09,105440643,9,23.81
Ha412HOChr01,88696029,1,25.78
Ha412HOChr02,153827404,4,21.84
Ha412HOChr08,589724,8,1.09
Ha412HOChr15,9795938,15,27.41
Ha412HOChr14,154896474,14,28.29
Ha412HOChr04,6518510,4,21.84
Ha412HOChr01,36712443,3,0.00
Ha412HOChr09,124347531,9,38.34
Ha412HOChr09,143409186,9,38.34
Ha412HOChr08,71215734,8,48.38
Ha412HOChr13,113601621,13,43.58
Ha412HOChr16,197736252,16,66.29
Ha412HOChr05,1980270,5,3.82
Ha412HOChr06,11746581,6,33.64
Ha412HOChr05,2841317,5,5.90
Ha412HOChr04,216005689,4,80.93
Ha412HOChr03,181282590,3,76.12
Ha412HOChr08,25031153,8,36.70
Ha412HOChr14,142498706,14,23.48
Ha412HOChr06,154786831,1,13.65
Ha412HOChr01,59457798,1,13.65
Ha412HOChr06,151018622,6,67.82
Ha412HOChr05,38203601,5,31.78
Ha412HOChr17,191268693,17,63.67
Ha412HOChr09,123540526,9,26.21
Ha412HOChr15,23699199,15,38.88
Ha412HOChr14,182752301,14,54.28
Ha412HOChr15,68872249,5,54.83
Ha412HOChr08,46612853,6,67.50
Ha412HOChr06,139684831,6,67.50
Ha412HOChr15,106097647,15,59.63
Ha412HOChr15,118150834,15,68.70
Ha412HOChr17,159660109,15,68.70
Ha412HOChr14,158930157,14,30.25
Ha412HOChr01,135119973,1,36.92
Ha412HOChr11,28030986,11,41.07
Ha412HOChr08,16945420,8,28.61
Ha412HOChr15,9102028,15,25.12
Ha412HOChr01,149080167,1,52.86
Ha412HOChr16,3175844,16,5.57
Ha412HOChr08,58596432,8,47.07
Ha412HOChr08,23415480,8,35.17
Ha412HOChr16,42851473,16,45.98
Ha412HOChr08,118406773,8,62.80
Ha412HOChr12,66048842,12,53.52
Ha412HOChr13,62875730,16,45.98
Ha412HOChr03,141921874,3,51.11
Ha412HOChr06,34412161,6,58.21
Ha412HOChr04,57296642,4,39.32
Ha412HOChr11,179085125,11,59.30
Ha412HOChr15,23184895,15,38.44
Ha412HOChr06,11173696,6,31.56
Ha412HOChr04,27355808,4,34.84
Ha412HOChr06,55771142,6,63.24
Ha412HOChr12,7222215,12,18.68
Ha412HOChr16,186113262,16,62.47
Ha412HOChr13,164304367,13,54.72
Ha412HOChr03,10710668,3,16.05
Ha412HOChr02,159743797,7,14.20
Ha412HOChr04,211719536,4,60.94
Ha412HOChr07,152957139,7,40.74
Ha412HOChr01,44810696,6,15.62
Ha412HOChr09,45431029,9,20.86
Ha412HOChr13,117099669,13,44.45
Ha412HOChr03,152537962,3,60.83
Ha412HOChr06,4261768,6,15.73
Ha412HOChr08,174597088,6,15.62
Ha412HOChr01,147428573,1,52.21
Ha412HOChr16,207883616,16,45.98
Ha412HOChr09,171358663,9,47.95
Ha412HOChr01,112987558,1,29.71
Ha412HOChr09,132928059,9,31.89
Ha412HOChr06,8078031,6,24.36
Ha412HOChr13,49608752,13,7.75
Ha412HOChr04,169367710,16,45.98
Ha412HOChr09,164525566,9,46.31
Ha412HOChr09,19003046,9,18.13
Ha412HOChr02,181746591,14,19.11
Ha412HOChr06,55505674,6,63.24
Ha412HOChr12,79597550,16,45.98
Ha412HOChr05,186328051,5,91.20
Ha412HOChr01,8898771,1,10.16
Ha412HOChr05,1668626,9,24.03
Ha412HOChr10,124444389,10,37.02
Ha412HOChr11,193128324,11,89.23
Ha412HOChr03,158079348,3,72.63
Ha412HOChr09,172655373,9,49.58
Ha412HOChr06,49235501,6,63.02
Ha412HOChr15,61325610,15,54.28
Ha412HOChr13,45305355,13,7.54
Ha412HOChr15,124442003,15,73.61
Ha412HOChr09,133217755,12,9.39
Ha412HOChr17,52636595,8,64.87
Ha412HOChr12,71782696,12,54.83
Ha412HOChr04,23762088,4,32.22
Ha412HOChr14,150237206,14,27.41
Ha412HOChr03,22022621,14,27.63
Ha412HOChr12,8382757,12,9.39
Ha412HOChr15,60536437,15,53.30
Ha412HOChr07,128560932,7,15.07
Ha412HOChr16,143445688,1,10.38
Ha412HOChr16,214329868,16,97.09
Ha412HOChr14,157095955,15,39.32
Ha412HOChr11,191783656,11,79.07
Ha412HOChr01,129255581,1,32.77
Ha412HOChr01,121777593,1,31.02
Ha412HOChr15,26694297,15,39.32
Ha412HOChr06,153311520,6,69.24
Ha412HOChr02,153611892,11,79.07
Ha412HOChr06,42706698,6,61.16
Ha412HOChr15,14464119,15,35.39
Ha412HOChr15,39537871,15,46.31
Ha412HOChr14,135591702,14,19.00
Ha412HOChr02,181743718,2,58.10
Ha412HOChr02,46955188,2,23.81
Ha412HOChr14,162150989,14,31.78
Ha412HOChr09,19345054,9,18.57
Ha412HOChr03,153220698,3,62.47
Ha412HOChr11,188783735,17,24.68
Ha412HOChr07,73310558,8,27.52
Ha412HOChr05,185110095,5,83.00
Ha412HOChr12,38132569,12,46.53
Ha412HOChr11,28263888,11,41.07
Ha412HOChr14,172478050,14,37.68
Ha412HOChr17,5980862,17,24.68
Ha412HOChr17,94942561,12,46.74
Ha412HOChr01,79866601,1,22.94
Ha412HOChr09,113103553,14,37.68
Ha412HOChr04,25478392,4,32.98
Ha412HOChr05,4186775,5,7.10
Ha412HOChr08,5403196,8,13.98
Ha412HOChr06,137859995,6,67.28
Ha412HOChr10,19446696,10,26.32
Ha412HOChr08,92432387,8,54.72
Ha412HOChr04,215157264,4,74.70
Ha412HOChr01,9259588,1,10.16
Ha412HOChr15,85599975,9,31.24
Ha412HOChr10,116031154,10,36.15
