chr	start	end	id	variable
Ha412HOChr03	52128876	52141661	Ha412HOChr03g0104221	OM
Ha412HOChr03	52189808	52192527	Ha412HOChr03g0104231	OM
Ha412HOChr08	63079767	63081240	Ha412HOChr08g0350171	OM
Ha412HOChr16	111916842	111923687	Ha412HOChr16g0772421	OM
Ha412HOChr05	31376957	31381904	Ha412HOChr05g0209141	P1
Ha412HOChr11	138845694	138846060	Ha412HOChr11g0513121	P1
Ha412HOChr07	138521176	138529063	Ha412HOChr07g0315001	P2
Ha412HOChr11	93226633	93229388	Ha412HOChr11g0505751	P2
Ha412HOChr11	93850068	93850570	Ha412HOChr11g0505831	P2
Ha412HOChr12	48921486	48923971	Ha412HOChr12g0554201	BICARB
Ha412HOChr12	50812285	50817336	Ha412HOChr12g0554391	BICARB
Ha412HOChr12	51005079	51006755	Ha412HOChr12g0554471	BICARB
Ha412HOChr12	51389998	51404145	Ha412HOChr12g0554491	BICARB
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	BICARB
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	BICARB
Ha412HOChr12	51838821	51852461	Ha412HOChr12g0554571	BICARB
Ha412HOChr15	148988495	148992376	Ha412HOChr15g0738391	BICARB
Ha412HOChr09	68582444	68595324	Ha412HOChr09g0387001	K
Ha412HOChr09	90081912	90084222	Ha412HOChr09g0389981	K
Ha412HOChr09	90083375	90084468	Ha412HOChr09g0389991	K
Ha412HOChr09	90523846	90528268	Ha412HOChr09g0390081	K
Ha412HOChr09	90675372	90677318	Ha412HOChr09g0390101	K
Ha412HOChr09	90644589	90645266	Ha412HOChr09g0390091	K
Ha412HOChr06	137516329	137531595	Ha412HOChr06g0282071	MG
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	MG
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	MG
Ha412HOChr06	82883404	82886649	Ha412HOChr06g0273291	CA
Ha412HOChr03	13648568	13649954	Ha412HOChr03g0095691	sodium
Ha412HOChr10	109129248	109133688	Ha412HOChr10g0452861	sodium
Ha412HOChr10	109850055	109856160	Ha412HOChr10g0453071	sodium
Ha412HOChr10	109850482	109853879	Ha412HOChr10g0453081	sodium
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	pH
Ha412HOChr06	82883404	82886649	Ha412HOChr06g0273291	CEC
Ha412HOChr11	72820708	72823112	Ha412HOChr11g0502781	CEC
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	PERCENT_K
Ha412HOChr09	68582444	68595324	Ha412HOChr09g0387001	PERCENT_K
Ha412HOChr11	92772192	92777288	Ha412HOChr11g0505631	PERCENT_K
Ha412HOChr03	181202272	181203246	Ha412HOChr03g0144591	PERCENT_MG
Ha412HOChr03	181204518	181205384	Ha412HOChr03g0144601	PERCENT_MG
Ha412HOChr03	181205747	181208787	Ha412HOChr03g0144611	PERCENT_MG
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	PERCENT_MG
Ha412HOChr10	109129248	109133688	Ha412HOChr10g0452861	PERCENT_CA
Ha412HOChr10	109850055	109856160	Ha412HOChr10g0453071	PERCENT_CA
Ha412HOChr07	67295133	67298290	Ha412HOChr07g0297651	PERCENT_NA
Ha412HOChr07	67726972	67727580	Ha412HOChr07g0297721	PERCENT_NA
Ha412HOChr07	67781176	67783555	Ha412HOChr07g0297751	PERCENT_NA
Ha412HOChr10	109129248	109133688	Ha412HOChr10g0452861	PERCENT_NA
Ha412HOChr12	48921486	48923971	Ha412HOChr12g0554201	PERCENT_NA
Ha412HOChr01	112548470	112551454	Ha412HOChr01g0028521	SOL_SALTS
Ha412HOChr14	49569257	49573979	Ha412HOChr14g0640421	SOL_SALTS
Ha412HOChr12	46318577	46326744	Ha412HOChr12g0553781	latitude_e
Ha412HOChr14	129518522	129520030	Ha412HOChr14g0665891	latitude_e
Ha412HOChr14	129519182	129519681	Ha412HOChr14g0665901	latitude_e
Ha412HOChr15	104095444	104099847	Ha412HOChr15g0727251	latitude_e
Ha412HOChr15	104097176	104099765	Ha412HOChr15g0727261	latitude_e
Ha412HOChr15	161017424	161024463	Ha412HOChr15g0740121	latitude_e
Ha412HOChr15	171815952	171817596	Ha412HOChr15g0741591	latitude_e
Ha412HOChr15	172052111	172057715	Ha412HOChr15g0741651	latitude_e
Ha412HOChr15	172237602	172237883	Ha412HOChr15g0741671	latitude_e
Ha412HOChr15	172711566	172715546	Ha412HOChr15g0741751	latitude_e
Ha412HOChr15	172717678	172721982	Ha412HOChr15g0741761	latitude_e
Ha412HOChr17	173662401	173686975	Ha412HOChr17g0849371	latitude_e
Ha412HOChr17	173711386	173715895	Ha412HOChr17g0849381	latitude_e
Ha412HOChr17	173773618	173773867	Ha412HOChr17g0849421	latitude_e
Ha412HOChr01	24012329	24017291	Ha412HOChr01g0006601	longitude_e
Ha412HOChr01	24107137	24113547	Ha412HOChr01g0006621	longitude_e
Ha412HOChr01	28931035	28945412	Ha412HOChr01g0006821	longitude_e
Ha412HOChr01	28932147	28933753	Ha412HOChr01g0006831	longitude_e
Ha412HOChr01	30098470	30101379	Ha412HOChr01g0006981	longitude_e
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	longitude_e
Ha412HOChr03	181202272	181203246	Ha412HOChr03g0144591	longitude_e
Ha412HOChr03	181134299	181136616	Ha412HOChr03g0144571	longitude_e
Ha412HOChr03	181204518	181205384	Ha412HOChr03g0144601	longitude_e
Ha412HOChr03	181205747	181208787	Ha412HOChr03g0144611	longitude_e
Ha412HOChr04	161676750	161677376	Ha412HOChr04g0177121	longitude_e
Ha412HOChr17	43379783	43381660	Ha412HOChr17g0823211	longitude_e
Ha412HOChr01	36933878	36935263	Ha412HOChr01g0008421	elevation_e
Ha412HOChr02	101523111	101529813	Ha412HOChr02g0068111	elevation_e
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	elevation_e
Ha412HOChr04	75931226	75940378	Ha412HOChr04g0165781	elevation_e
Ha412HOChr04	75932409	75933474	Ha412HOChr04g0165791	elevation_e
Ha412HOChr04	76485919	76489005	Ha412HOChr04g0165921	elevation_e
Ha412HOChr04	76503356	76509310	Ha412HOChr04g0165931	elevation_e
Ha412HOChr08	159059508	159064413	Ha412HOChr08g0369201	elevation_e
Ha412HOChr08	159418389	159423091	Ha412HOChr08g0369261	elevation_e
Ha412HOChr11	127784833	127786029	Ha412HOChr11g0511041	elevation_e
Ha412HOChr16	164711380	164719568	Ha412HOChr16g0785591	elevation_e
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	MAT_e
Ha412HOChr04	76410810	76413513	Ha412HOChr04g0165901	MAT_e
Ha412HOChr14	39831925	39837467	Ha412HOChr14g0639691	MAT_e
Ha412HOChr14	39835954	39837319	Ha412HOChr14g0639701	MAT_e
Ha412HOChr14	49898973	49902296	Ha412HOChr14g0640501	MAT_e
Ha412HOChr16	102309482	102317314	Ha412HOChr16g0770491	MAT_e
Ha412HOChr16	102322001	102325663	Ha412HOChr16g0770511	MAT_e
Ha412HOChr16	102322238	102323167	Ha412HOChr16g0770521	MAT_e
Ha412HOChr16	102317879	102320816	Ha412HOChr16g0770501	MAT_e
Ha412HOChr16	102467719	102468881	Ha412HOChr16g0770541	MAT_e
Ha412HOChr16	102472402	102481054	Ha412HOChr16g0770561	MAT_e
Ha412HOChr16	102469038	102472654	Ha412HOChr16g0770551	MAT_e
Ha412HOChr16	102563297	102564292	Ha412HOChr16g0770611	MAT_e
Ha412HOChr16	102745761	102747392	Ha412HOChr16g0770621	MAT_e
Ha412HOChr17	83339595	83341306	Ha412HOChr17g0833141	MAT_e
Ha412HOChr17	83364888	83366338	Ha412HOChr17g0833161	MAT_e
Ha412HOChr17	83365308	83366294	Ha412HOChr17g0833171	MAT_e
Ha412HOChr17	85676429	85679097	Ha412HOChr17g0833671	MAT_e
Ha412HOChr17	85677348	85678976	Ha412HOChr17g0833681	MAT_e
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	MWMT_e
Ha412HOChr04	76462855	76464099	Ha412HOChr04g0165911	MWMT_e
Ha412HOChr14	39831925	39837467	Ha412HOChr14g0639691	MWMT_e
Ha412HOChr14	39835954	39837319	Ha412HOChr14g0639701	MWMT_e
Ha412HOChr14	49661976	49666773	Ha412HOChr14g0640471	MWMT_e
Ha412HOChr14	49898973	49902296	Ha412HOChr14g0640501	MWMT_e
Ha412HOChr17	85529628	85540606	Ha412HOChr17g0833631	MWMT_e
Ha412HOChr04	76410810	76413513	Ha412HOChr04g0165901	MCMT_e
Ha412HOChr12	51492428	51492726	Ha412HOChr12g0554501	MCMT_e
Ha412HOChr12	51499315	51501140	Ha412HOChr12g0554511	MCMT_e
Ha412HOChr16	102322001	102325663	Ha412HOChr16g0770511	MCMT_e
Ha412HOChr16	102322238	102323167	Ha412HOChr16g0770521	MCMT_e
Ha412HOChr16	102467719	102468881	Ha412HOChr16g0770541	MCMT_e
Ha412HOChr16	102472402	102481054	Ha412HOChr16g0770561	MCMT_e
Ha412HOChr16	102469038	102472654	Ha412HOChr16g0770551	MCMT_e
Ha412HOChr17	82719749	82722677	Ha412HOChr17g0833071	MCMT_e
Ha412HOChr17	83339595	83341306	Ha412HOChr17g0833141	MCMT_e
Ha412HOChr17	83364888	83366338	Ha412HOChr17g0833161	MCMT_e
Ha412HOChr17	83365308	83366294	Ha412HOChr17g0833171	MCMT_e
Ha412HOChr17	173662401	173686975	Ha412HOChr17g0849371	MCMT_e
Ha412HOChr17	173711386	173715895	Ha412HOChr17g0849381	MCMT_e
Ha412HOChr17	173773618	173773867	Ha412HOChr17g0849421	MCMT_e
Ha412HOChr06	90499738	90503339	Ha412HOChr06g0274801	TD_e
Ha412HOChr06	90500672	90503333	Ha412HOChr06g0274811	TD_e
Ha412HOChr12	46318577	46326744	Ha412HOChr12g0553781	TD_e
Ha412HOChr12	55206017	55209830	Ha412HOChr12g0555061	TD_e
Ha412HOChr13	10859739	10864984	Ha412HOChr13g0584841	TD_e
Ha412HOChr13	10865888	10870246	Ha412HOChr13g0584851	TD_e
Ha412HOChr13	11049596	11055385	Ha412HOChr13g0584891	TD_e
Ha412HOChr15	173541006	173543829	Ha412HOChr15g0741901	TD_e
Ha412HOChr17	84026436	84029823	Ha412HOChr17g0833351	TD_e
Ha412HOChr02	123979738	123994878	Ha412HOChr02g0073381	MAP_e
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	MAP_e
Ha412HOChr06	135915187	135918590	Ha412HOChr06g0281801	MAP_e
Ha412HOChr06	136361013	136363258	Ha412HOChr06g0281851	MAP_e
Ha412HOChr09	61772102	61779338	Ha412HOChr09g0385831	MAP_e
Ha412HOChr13	15499874	15506028	Ha412HOChr13g0585611	MAP_e
Ha412HOChr13	15710062	15714390	Ha412HOChr13g0585631	MAP_e
Ha412HOChr13	15721813	15727847	Ha412HOChr13g0585641	MAP_e
Ha412HOChr16	132537633	132538786	Ha412HOChr16g0777111	MAP_e
Ha412HOChr01	24012329	24017291	Ha412HOChr01g0006601	MSP_e
Ha412HOChr01	24107137	24113547	Ha412HOChr01g0006621	MSP_e
Ha412HOChr01	30098470	30101379	Ha412HOChr01g0006981	MSP_e
Ha412HOChr02	123979738	123994878	Ha412HOChr02g0073381	MSP_e
Ha412HOChr03	180983248	180998136	Ha412HOChr03g0144431	MSP_e
Ha412HOChr03	181202272	181203246	Ha412HOChr03g0144591	MSP_e
Ha412HOChr03	181204518	181205384	Ha412HOChr03g0144601	MSP_e
Ha412HOChr03	181205747	181208787	Ha412HOChr03g0144611	MSP_e
Ha412HOChr06	135856040	135861021	Ha412HOChr06g0281771	MSP_e
Ha412HOChr06	135856099	135860439	Ha412HOChr06g0281781	MSP_e
Ha412HOChr06	135751621	135758742	Ha412HOChr06g0281761	MSP_e
Ha412HOChr06	135915187	135918590	Ha412HOChr06g0281801	MSP_e
Ha412HOChr06	135915774	135916820	Ha412HOChr06g0281811	MSP_e
Ha412HOChr06	136119847	136120221	Ha412HOChr06g0281821	MSP_e
Ha412HOChr06	136361013	136363258	Ha412HOChr06g0281851	MSP_e
Ha412HOChr06	136148132	136159383	Ha412HOChr06g0281831	MSP_e
Ha412HOChr04	210424880	210425666	Ha412HOChr04g0193471	AHM_e
Ha412HOChr07	35759619	35771367	Ha412HOChr07g0294661	AHM_e
Ha412HOChr14	49898973	49902296	Ha412HOChr14g0640501	AHM_e
Ha412HOChr02	141049825	141050575	Ha412HOChr02g0076921	SHM_e
