chr	variable	window	start	end	median_bayes
Ha412HOChr01	AHM_e	294	23376557	24010661	4.35314605
Ha412HOChr01	AHM_e	323	30174267	30365510	4.072639505
Ha412HOChr01	bFFP_e	310	28611172	28932965	9.059253309999999
Ha412HOChr01	bFFP_e	311	28932975	28934684	11.56320874
Ha412HOChr01	bFFP_e	312	28934750	28936462	10.461049875
Ha412HOChr01	CMD_e	295	24010665	24016555	6.821320145
Ha412HOChr01	CMD_e	310	28611172	28932965	7.16008298
Ha412HOChr01	DD_18_e	310	28611172	28932965	10.721683765
Ha412HOChr01	DD_18_e	311	28932975	28934684	11.63616295
Ha412HOChr01	DD18_e	310	28611172	28932965	15.97952931
Ha412HOChr01	DD18_e	311	28932975	28934684	15.08193591
Ha412HOChr01	DD5_e	310	28611172	28932965	14.93175555
Ha412HOChr01	DD5_e	311	28932975	28934684	14.9753291
Ha412HOChr01	DD5_e	312	28934750	28936462	12.19726311
Ha412HOChr01	eFFP_e	310	28611172	28932965	8.821274370000001
Ha412HOChr01	eFFP_e	311	28932975	28934684	9.97310633
Ha412HOChr01	eFFP_e	312	28934750	28936462	8.453405805
Ha412HOChr01	EMT_e	310	28611172	28932965	11.03746242
Ha412HOChr01	EMT_e	311	28932975	28934684	10.667307390000001
Ha412HOChr01	Eref_e	310	28611172	28932965	7.63737313
Ha412HOChr01	Eref_e	311	28932975	28934684	7.633464569999999
Ha412HOChr01	FFP_e	310	28611172	28932965	9.65210688
Ha412HOChr01	FFP_e	311	28932975	28934684	11.448299545000001
Ha412HOChr01	FFP_e	312	28934750	28936462	10.18078761
Ha412HOChr01	latitude_e	310	28611172	28932965	8.171056539999999
Ha412HOChr01	latitude_e	323	30174267	30365510	7.762294205
Ha412HOChr01	MAT_e	310	28611172	28932965	12.68292514
Ha412HOChr01	MAT_e	311	28932975	28934684	12.993571034999999
Ha412HOChr01	MAT_e	312	28934750	28936462	10.917790995
Ha412HOChr01	MCMT_e	310	28611172	28932965	10.78586977
Ha412HOChr01	MCMT_e	311	28932975	28934684	10.77888127
Ha412HOChr01	MWMT_e	310	28611172	28932965	9.330946945
Ha412HOChr01	MWMT_e	311	28932975	28934684	10.332945760000001
Ha412HOChr01	NFFD_e	310	28611172	28932965	11.99672297
Ha412HOChr01	NFFD_e	311	28932975	28934684	13.05430737
Ha412HOChr01	NFFD_e	312	28934750	28936462	11.35936672
Ha412HOChr01	SHM_e	1374	102772760	102843211	0.719279515
Ha412HOChr02	MAP_e	5	2750524	2754143	2.9200307199999997
Ha412HOChr02	MSP_e	1815	169250521	169259629	3.414412585
Ha412HOChr02	MSP_e	1816	169259913	169262457	3.0416150650000002
Ha412HOChr02	MSP_e	1817	169262483	169265268	4.07553225
Ha412HOChr02	SHM_e	1815	169250521	169259629	0.763971085
Ha412HOChr02	SHM_e	1816	169259913	169262457	0.48960722
Ha412HOChr02	SHM_e	1817	169262483	169265268	0.9589132899999999
Ha412HOChr03	RH_e	808	72686561	72694254	2.82970672
Ha412HOChr03	TD_e	825	76280723	76284667	3.682876315
Ha412HOChr04	AHM_e	2184	210421481	210424109	4.5698307400000004
Ha412HOChr04	AHM_e	2186	210430504	210441745	5.540919045
Ha412HOChr04	CMD_e	2184	210421481	210424109	9.09008704
Ha412HOChr04	CMD_e	2186	210430504	210441745	9.93391586
Ha412HOChr04	EMT_e	1102	124820401	125054703	8.966608625
Ha412HOChr04	EXT_e	2184	210421481	210424109	9.552294695
Ha412HOChr04	EXT_e	2186	210430504	210441745	10.212321020000001
Ha412HOChr04	latitude_e	1103	125054758	125057812	8.826056585
Ha412HOChr04	MAP_e	1633	176246162	176268961	1.7881459450000001
Ha412HOChr04	MSP_e	2184	210421481	210424109	5.87793946
Ha412HOChr04	MSP_e	2186	210430504	210441745	8.599245415
Ha412HOChr04	SHM_e	1137	128925606	129318187	2.46864107
Ha412HOChr04	SHM_e	2184	210421481	210424109	16.30772211
Ha412HOChr04	SHM_e	2186	210430504	210441745	21.21679988
Ha412HOChr04	TD_e	2184	210421481	210424109	7.8705142299999995
Ha412HOChr04	TD_e	2186	210430504	210441745	7.561494565
Ha412HOChr05	bFFP_e	728	64183324	64210947	7.831271415
Ha412HOChr05	longitude_e	831	90504261	90511821	8.54296308
Ha412HOChr05	MSP_e	1142	113798476	113858440	3.04257335
Ha412HOChr05	RH_e	728	64183324	64210947	2.5805081850000002
Ha412HOChr05	SHM_e	1142	113798476	113858440	1.874580535
Ha412HOChr06	bFFP_e	1926	119511812	119531083	11.796738295
