mds_coord	betweenSS	het_pvalue	window_cluster	location
mds02-neg	0.905803099603341	NA	5.27	HanXRQChr09:122MB
mds04-pos	0.9822329885426989	0.0632	3.97	HanXRQChr14:135MB
mds07-neg	0.9946177943442913	1.2299999999999999e-30	3.83	HanXRQChr01:39MB
mds13-pos	0.9590878386349388	6.02e-5	2.4	HanXRQChr06:59MB
mds13-neg	0.9129468606048101	NA	3.89	HanXRQChr05:189MB
mds14-pos	0.9745517646149386	4.18e-14	9.44	HanXRQChr06:59MB
mds15-neg	0.9667040165101596	0.433	1.82	HanXRQChr17:21MB
mds16-pos	0.9746145336400632	0.288	3.68	HanXRQChr11:42MB
mds16-neg	0.9383168214552572	0.107	6	HanXRQChr05:198MB
mds19-neg	0.9569906614130945	0.111	4.76	HanXRQChr07:61MB
mds21-neg	0.9363827479401576	0.00277	3.43	HanXRQChr07:63MB
mds22-neg	0.9309424161558464	0.422	2	HanXRQChr07:62MB
mds24-neg	0.9380726649577813	0.478	3.62	HanXRQChr09:136MB
mds27-neg	0.9294874632209305	0.352	5.67	HanXRQChr17:201MB
mds39-pos	0.963543675220498	0.992	1.42	HanXRQChr10:9MB
