Scaffold ID, scaffold position, LG, genetic position
Ha412HOChr10,7966525,10,6.03
Ha412HOChr12,30556380,12,54.96
Ha412HOChr17,22495226,17,32.62
Ha412HOChr17,197690286,17,42.91
Ha412HOChr12,38394886,12,55.67
Ha412HOChr12,17822662,12,43.97
Ha412HOChr16,118085946,16,43.97
Ha412HOChr05,23299171,5,20.21
Ha412HOChr05,164945588,5,35.46
Ha412HOChr01,101775551,1,25.18
Ha412HOChr08,8240006,8,21.63
Ha412HOChr04,219104136,4,75.53
Ha412HOChr04,1635943,4,6.03
Ha412HOChr10,157362784,10,26.60
Ha412HOChr06,51471339,6,43.26
Ha412HOChr17,190887729,17,40.43
Ha412HOChr17,71968918,17,34.40
Ha412HOChr11,13508482,11,29.79
Ha412HOChr17,2621354,17,5.32
Ha412HOChr07,157213934,7,56.38
Ha412HOChr10,186056103,10,49.65
Ha412HOChr10,186608308,10,49.65
Ha412HOChr05,33759639,5,25.53
Ha412HOChr12,9807458,12,2.48
Ha412HOChr04,193245216,4,41.84
Ha412HOChr10,3191742,3,17.73
Ha412HOChr03,176133809,3,47.87
Ha412HOChr13,146470917,13,16.67
Ha412HOChr17,1307105,17,0.00
Ha412HOChr07,161613683,7,69.86
Ha412HOChr13,106161132,13,5.67
Ha412HOChr10,26210334,10,25.89
Ha412HOChr04,191057114,3,17.73
Ha412HOChr05,4996593,5,8.16
Ha412HOChr09,138644328,9,36.52
Ha412HOChr11,177602808,11,42.55
Ha412HOChr06,30881142,6,40.43
Ha412HOChr16,64327910,16,43.97
Ha412HOChr08,70982826,8,37.23
Ha412HOChr13,123477352,13,6.38
Ha412HOChr16,35913068,16,43.97
Ha412HOChr11,28421727,11,29.79
Ha412HOChr11,161635560,11,37.94
Ha412HOChr12,30135479,12,53.55
Ha412HOChr03,89269316,3,25.89
Ha412HOChr12,99838265,12,62.41
Ha412HOChr08,174585581,8,48.94
Ha412HOChr01,94256125,11,29.79
Ha412HOChr15,10029061,15,24.47
Ha412HOChr14,107971383,14,4.26
