chrom	start	end	mid	the_mds	outlier	n	mds_coord
HanXRQChr05	170928645	171360706	171144675.5	-0.19156466730807464	Higher	2137	mds19-neg
HanXRQChr05	177375647	177460699	177418173	-0.17647435932640249	Higher	2153	mds19-neg
HanXRQChr05	177471801	177571915	177521858	-0.1490080428412885	Lower	2154	mds19-neg
HanXRQChr05	180212255	180702377	180457316	-0.18353177677864577	Higher	2161	mds19-neg
HanXRQChr05	180702380	181275689	180989034.5	-0.1555197474910661	Lower	2162	mds19-neg
HanXRQChr05	181275700	181529416	181402558	-0.19422746863842025	Higher	2163	mds19-neg
HanXRQChr05	181686558	181852332	181769445	-0.15656857950605776	Lower	2165	mds19-neg
HanXRQChr05	182684124	182887234	182785679	-0.1427095210975709	Lower	2169	mds19-neg
HanXRQChr05	183739297	184153516	183946406.5	-0.16717528092099798	Lower	2171	mds19-neg
HanXRQChr05	184153528	184394482	184274005	-0.16044357101185067	Lower	2172	mds19-neg
HanXRQChr05	184622023	184940768	184781395.5	-0.18037964485874863	Higher	2174	mds19-neg
HanXRQChr05	185068123	185319603	185193863	-0.18322250134230222	Higher	2175	mds19-neg
HanXRQChr05	185319604	185430973	185375288.5	-0.17251889894380093	Lower	2176	mds19-neg
HanXRQChr05	185992236	186049146	186020691	-0.14794327835120988	Lower	2178	mds19-neg
HanXRQChr05	186049157	186571870	186310513.5	-0.22842981654660655	Higher	2179	mds19-neg
HanXRQChr05	186574283	186884743	186729513	-0.21537131874934276	Higher	2180	mds19-neg
HanXRQChr05	187194373	187482986	187338679.5	-0.15279652428324444	Lower	2182	mds19-neg
HanXRQChr05	187483025	187594324	187538674.5	-0.18375087604818738	Higher	2183	mds19-neg
HanXRQChr05	187594334	187921862	187758098	-0.20858413379332644	Higher	2184	mds19-neg
HanXRQChr05	187921863	188091451	188006657	-0.15730383009423934	Lower	2185	mds19-neg
HanXRQChr05	188091469	188208152	188149810.5	-0.132925835129222	Lower	2186	mds19-neg
HanXRQChr05	188208154	188279705	188243929.5	-0.17631731833241293	Higher	2187	mds19-neg
HanXRQChr05	188279744	188345521	188312632.5	-0.19306933852511934	Higher	2188	mds19-neg
HanXRQChr05	188345525	188620118	188482821.5	-0.22798589266874944	Higher	2189	mds19-neg
HanXRQChr05	188620120	188779001	188699560.5	-0.17140156358996803	Lower	2190	mds19-neg
HanXRQChr05	188914406	189244475	189079440.5	-0.1663065150935782	Lower	2192	mds19-neg
HanXRQChr05	189244515	189567085	189405800	-0.18425142586460927	Higher	2193	mds19-neg
HanXRQChr05	189567121	189706745	189636933	-0.144825319308548	Lower	2194	mds19-neg
HanXRQChr05	189706752	189862466	189784609	-0.19073134976249848	Higher	2195	mds19-neg
HanXRQChr05	189862469	189976989	189919729	-0.17633460202249834	Higher	2196	mds19-neg
HanXRQChr05	190155880	190447804	190301842	-0.16691804141685837	Lower	2198	mds19-neg
HanXRQChr05	190739831	190889206	190814518.5	-0.15732955496597179	Lower	2200	mds19-neg
HanXRQChr05	191321965	191580876	191451420.5	-0.13763526805856918	Lower	2202	mds19-neg
HanXRQChr05	191580879	191765908	191673393.5	-0.15283520728663466	Lower	2203	mds19-neg
HanXRQChr05	191766004	191953188	191859596	-0.15513625824896296	Lower	2204	mds19-neg
HanXRQChr05	191953195	192224264	192088729.5	-0.14988345285959317	Lower	2205	mds19-neg
HanXRQChr05	192273043	192379236	192326139.5	-0.1834791336552678	Higher	2207	mds19-neg
HanXRQChr05	192542183	192696041	192619112	-0.18692369154177513	Higher	2209	mds19-neg
HanXRQChr05	192696053	192841251	192768652	-0.16779376259252615	Lower	2210	mds19-neg
