chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ARG0191	ARG0196	763.5	2986
Ha412HOChr01	0	ARG0191	ARG0199	696	2986
Ha412HOChr01	0	ARG0196	ARG0199	567.5	2986
Ha412HOChr01	0	ARG0194	ARG0191	580.5	2986
Ha412HOChr01	0	ARG0194	ARG0196	553.5	2986
Ha412HOChr01	0	ARG0194	ARG0199	649	2986
Ha412HOChr01	1000000	ARG0191	ARG0196	1034.5	3264
Ha412HOChr01	1000000	ARG0191	ARG0199	1145	3264
Ha412HOChr01	1000000	ARG0196	ARG0199	1140.5	3264
Ha412HOChr01	1000000	ARG0194	ARG0191	831.5	3264
Ha412HOChr01	1000000	ARG0194	ARG0196	869.5	3264
Ha412HOChr01	1000000	ARG0194	ARG0199	1071.5	3264
Ha412HOChr01	10000000	ARG0191	ARG0196	922.5	3152
Ha412HOChr01	10000000	ARG0191	ARG0199	919	3152
Ha412HOChr01	10000000	ARG0196	ARG0199	1019	3152
Ha412HOChr01	10000000	ARG0194	ARG0191	444	3152
Ha412HOChr01	10000000	ARG0194	ARG0196	909.5	3152
Ha412HOChr01	10000000	ARG0194	ARG0199	903	3152
Ha412HOChr01	100000000	ARG0191	ARG0196	26	922
Ha412HOChr01	100000000	ARG0191	ARG0199	110	922
Ha412HOChr01	100000000	ARG0196	ARG0199	115	922
Ha412HOChr01	100000000	ARG0194	ARG0191	15	922
Ha412HOChr01	100000000	ARG0194	ARG0196	33	922
Ha412HOChr01	100000000	ARG0194	ARG0199	115	922
Ha412HOChr01	101000000	ARG0191	ARG0196	85	1354
Ha412HOChr01	101000000	ARG0191	ARG0199	309	1354
Ha412HOChr01	101000000	ARG0196	ARG0199	319	1354
Ha412HOChr01	101000000	ARG0194	ARG0191	63	1354
Ha412HOChr01	101000000	ARG0194	ARG0196	85	1354
Ha412HOChr01	101000000	ARG0194	ARG0199	313	1354
Ha412HOChr01	102000000	ARG0191	ARG0196	174	1926
Ha412HOChr01	102000000	ARG0191	ARG0199	982.5	1926
Ha412HOChr01	102000000	ARG0196	ARG0199	1012.5	1926
Ha412HOChr01	102000000	ARG0194	ARG0191	112.5	1926
Ha412HOChr01	102000000	ARG0194	ARG0196	166	1926
Ha412HOChr01	102000000	ARG0194	ARG0199	991	1926
Ha412HOChr01	103000000	ARG0191	ARG0196	369	1676
Ha412HOChr01	103000000	ARG0191	ARG0199	270	1676
Ha412HOChr01	103000000	ARG0196	ARG0199	420	1676
Ha412HOChr01	103000000	ARG0194	ARG0191	128	1676
Ha412HOChr01	103000000	ARG0194	ARG0196	385.5	1676
Ha412HOChr01	103000000	ARG0194	ARG0199	256	1676
Ha412HOChr01	104000000	ARG0191	ARG0196	2157	3038
Ha412HOChr01	104000000	ARG0191	ARG0199	1183.5	3038
Ha412HOChr01	104000000	ARG0196	ARG0199	1242	3038
Ha412HOChr01	104000000	ARG0194	ARG0191	68	3038
Ha412HOChr01	104000000	ARG0194	ARG0196	2144	3038
Ha412HOChr01	104000000	ARG0194	ARG0199	1181.5	3038
Ha412HOChr01	105000000	ARG0191	ARG0196	1325	1622
Ha412HOChr01	105000000	ARG0191	ARG0199	600.5	1622
Ha412HOChr01	105000000	ARG0196	ARG0199	880	1622
Ha412HOChr01	105000000	ARG0194	ARG0191	81	1622
Ha412HOChr01	105000000	ARG0194	ARG0196	1306.5	1622
Ha412HOChr01	105000000	ARG0194	ARG0199	592.5	1622
Ha412HOChr01	106000000	ARG0191	ARG0196	2207	3048
Ha412HOChr01	106000000	ARG0191	ARG0199	933	3048
Ha412HOChr01	106000000	ARG0196	ARG0199	1473.5	3048
Ha412HOChr01	106000000	ARG0194	ARG0191	63	3048
Ha412HOChr01	106000000	ARG0194	ARG0196	2211	3048
Ha412HOChr01	106000000	ARG0194	ARG0199	938	3048
