chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0529	PET0524	827	2928
Ha412HOChr01	0	PET0529	PET0526	682	2802
Ha412HOChr01	0	PET0524	PET0526	742	2878
Ha412HOChr01	0	PET0522	PET0529	872.5	3014
Ha412HOChr01	0	PET0522	PET0524	893	3108
Ha412HOChr01	0	PET0522	PET0526	736	2944
Ha412HOChr01	1000000	PET0529	PET0524	2465	6668
Ha412HOChr01	1000000	PET0529	PET0526	2235.5	6562
Ha412HOChr01	1000000	PET0524	PET0526	2459.5	6754
Ha412HOChr01	1000000	PET0522	PET0529	2427	6716
Ha412HOChr01	1000000	PET0522	PET0524	2719.5	6926
Ha412HOChr01	1000000	PET0522	PET0526	1705	6894
Ha412HOChr01	10000000	PET0529	PET0524	1586.5	4772
Ha412HOChr01	10000000	PET0529	PET0526	1619.5	4512
Ha412HOChr01	10000000	PET0524	PET0526	1579	4714
Ha412HOChr01	10000000	PET0522	PET0529	1614	4734
Ha412HOChr01	10000000	PET0522	PET0524	1680	4886
Ha412HOChr01	10000000	PET0522	PET0526	1499.5	4704
Ha412HOChr01	100000000	PET0529	PET0524	321.5	948
Ha412HOChr01	100000000	PET0529	PET0526	447	930
Ha412HOChr01	100000000	PET0524	PET0526	254	964
Ha412HOChr01	100000000	PET0522	PET0529	306	944
Ha412HOChr01	100000000	PET0522	PET0524	290	964
Ha412HOChr01	100000000	PET0522	PET0526	265	952
Ha412HOChr01	101000000	PET0529	PET0524	265.5	1430
Ha412HOChr01	101000000	PET0529	PET0526	280.5	1386
Ha412HOChr01	101000000	PET0524	PET0526	339	1472
Ha412HOChr01	101000000	PET0522	PET0529	446.5	1440
Ha412HOChr01	101000000	PET0522	PET0524	510	1534
Ha412HOChr01	101000000	PET0522	PET0526	413	1496
Ha412HOChr01	102000000	PET0529	PET0524	819.5	2958
Ha412HOChr01	102000000	PET0529	PET0526	1248.5	3036
Ha412HOChr01	102000000	PET0524	PET0526	763.5	2892
Ha412HOChr01	102000000	PET0522	PET0529	1186	3210
Ha412HOChr01	102000000	PET0522	PET0524	992	3028
Ha412HOChr01	102000000	PET0522	PET0526	714.5	3148
Ha412HOChr01	103000000	PET0529	PET0524	752	2318
Ha412HOChr01	103000000	PET0529	PET0526	810	2284
Ha412HOChr01	103000000	PET0524	PET0526	764.5	2292
Ha412HOChr01	103000000	PET0522	PET0529	930.5	2588
Ha412HOChr01	103000000	PET0522	PET0524	836	2478
Ha412HOChr01	103000000	PET0522	PET0526	856.5	2418
Ha412HOChr01	104000000	PET0529	PET0524	868	2736
Ha412HOChr01	104000000	PET0529	PET0526	1166	2610
Ha412HOChr01	104000000	PET0524	PET0526	903.5	2806
Ha412HOChr01	104000000	PET0522	PET0529	963.5	2806
Ha412HOChr01	104000000	PET0522	PET0524	970	2982
Ha412HOChr01	104000000	PET0522	PET0526	862.5	2850
Ha412HOChr01	105000000	PET0529	PET0524	90	850
Ha412HOChr01	105000000	PET0529	PET0526	94	824
Ha412HOChr01	105000000	PET0524	PET0526	126	872
Ha412HOChr01	105000000	PET0522	PET0529	102	888
Ha412HOChr01	105000000	PET0522	PET0524	66	940
Ha412HOChr01	105000000	PET0522	PET0526	164	976
Ha412HOChr01	106000000	PET0529	PET0524	931.5	2756
Ha412HOChr01	106000000	PET0529	PET0526	600	2756
Ha412HOChr01	106000000	PET0524	PET0526	1172.5	2856
Ha412HOChr01	106000000	PET0522	PET0529	1057.5	2826
Ha412HOChr01	106000000	PET0522	PET0524	525.5	2984
Ha412HOChr01	106000000	PET0522	PET0526	1190.5	2924
Ha412HOChr01	107000000	PET0529	PET0524	1602.5	3774
Ha412HOChr01	107000000	PET0529	PET0526	748.5	3720
Ha412HOChr01	107000000	PET0524	PET0526	1580	3910
Ha412HOChr01	107000000	PET0522	PET0529	1559.5	3736
Ha412HOChr01	107000000	PET0522	PET0524	1223.5	4036
Ha412HOChr01	107000000	PET0522	PET0526	1449	3868
Ha412HOChr01	108000000	PET0529	PET0524	335.5	1710
Ha412HOChr01	108000000	PET0529	PET0526	174	1678
Ha412HOChr01	108000000	PET0524	PET0526	349	1722
Ha412HOChr01	108000000	PET0522	PET0529	409.5	1720
Ha412HOChr01	108000000	PET0522	PET0524	413	1730
Ha412HOChr01	108000000	PET0522	PET0526	369	1690
Ha412HOChr01	109000000	PET0529	PET0524	878.5	2946
Ha412HOChr01	109000000	PET0529	PET0526	1047.5	2884
Ha412HOChr01	109000000	PET0524	PET0526	880.5	2954
Ha412HOChr01	109000000	PET0522	PET0529	907.5	3002
Ha412HOChr01	109000000	PET0522	PET0524	964	3112
Ha412HOChr01	109000000	PET0522	PET0526	1090	3048
Ha412HOChr01	11000000	PET0529	PET0524	700.5	2130
Ha412HOChr01	11000000	PET0529	PET0526	689	2078
Ha412HOChr01	11000000	PET0524	PET0526	694	2104
Ha412HOChr01	11000000	PET0522	PET0529	684.5	2172
Ha412HOChr01	11000000	PET0522	PET0524	717	2200
Ha412HOChr01	11000000	PET0522	PET0526	688.5	2152
