mds_coord	betweenSS	het_pvalue	window_cluster	location
mds01-pos	0.9970240004568202	NA	5.05	HanXRQChr04:127MB
mds02-pos	0.9969666032379566	7.71e-29	1.72	HanXRQChr11:49MB
mds03-neg	0.996445176021834	5.04e-19	1.64	HanXRQChr05:194MB
mds04-neg	0.9963133788540428	3.17e-33	1.96	HanXRQChr09:136MB
mds05-neg	0.9953805862555188	4.84e-8	4.39	HanXRQChr17:61MB
mds06-neg	0.9932300829911965	0.0308	1.38	HanXRQChr06:31MB
mds07-pos	0.9960575245240637	4.72e-12	1.98	HanXRQChr17:21MB
mds09-pos	0.9875875783332447	4.01e-14	5.35	HanXRQChr14:127MB
mds12-pos	0.9874081755923764	3.84e-8	2.45	HanXRQChr02:62MB
mds14-pos	0.9622260687170465	2.31e-8	3.77	HanXRQChr06:81MB
mds15-pos	0.973977870426799	0.00498	13.08	HanXRQChr17:208MB
mds16-pos	0.9328464578125716	0.0574	7.67	HanXRQChr08:111MB
mds17-neg	0.9394323155383567	2.97e-5	9.06	HanXRQChr08:101MB
mds18-neg	0.9041546884185688	0.0209	2.39	HanXRQChr13:29MB
mds19-neg	0.9354416767485201	8.79e-13	28.7	HanXRQChr03:80MB
mds21-neg	0.9135346578996134	3.43e-4	9.55	HanXRQChr08:128MB
mds22-neg	0.881220408771099	0.00126	4.12	HanXRQChr10:122MB
mds23-neg	0.8993669000295983	8.16e-10	1.44	HanXRQChr13:27MB
mds26-neg	0.9506833565282706	4.36e-16	6.38	HanXRQChr12:124MB
mds27-pos	0.90290923550699	0.00164	15	HanXRQChr10:126MB
mds27-neg	0.8748593140683383	7.7e-4	3.17	HanXRQChr09:85MB
mds28-neg	0.9428633906081844	0.00192	46.14	HanXRQChr09:102MB
mds30-neg	0.9826613528280144	0.33	12.8	HanXRQChr06:10MB
mds33-neg	0.9351383880215055	0.14	9.19	HanXRQChr01:19MB
mds35-neg	0.9607620873418106	NA	11.31	HanXRQChr05:24MB
mds36-pos	0.9623460245115675	NA	1.38	HanXRQChr07:61MB
mds36-neg	0.943176479464385	2.07e-12	13.6	HanXRQChr10:134MB
mds37-neg	0.9103501920405409	1.13e-7	10.67	HanXRQChr03:39MB
mds39-pos	0.983482154134891	1.75e-4	2.64	HanXRQChr01:13MB
mds39-neg	0.9436279220097665	2.83e-10	1.44	HanXRQChr15:153MB
mds40-neg	0.9476204009891832	1.7e-5	10.31	HanXRQChr05:100MB
