chr	variable	window	start	end	median_bayes
Ha412HOChr01	bFFP_e	348	35028805	35039632	14.895217845000001
Ha412HOChr01	DD_18_e	348	35028805	35039632	9.350424409999999
Ha412HOChr01	DD5_e	348	35028805	35039632	11.55735175
Ha412HOChr01	eFFP_e	348	35028805	35039632	11.922792415
Ha412HOChr01	elevation_e	348	35028805	35039632	13.019402095
Ha412HOChr01	EXT_e	348	35028805	35039632	10.55278174
Ha412HOChr01	FFP_e	348	35028805	35039632	13.67037639
Ha412HOChr01	MAT_e	348	35028805	35039632	10.298405545000001
Ha412HOChr01	MWMT_e	348	35028805	35039632	14.39400414
Ha412HOChr01	NFFD_e	348	35028805	35039632	9.525077074999999
Ha412HOChr02	CMD_e	734	89816833	90149846	5.382064424999999
Ha412HOChr02	CMD_e	1314	146560181	146635491	7.03383577
Ha412HOChr02	longitude_e	1314	146560181	146635491	10.104564475
Ha412HOChr02	MAR_e	582	63856721	64074551	3.335788835
Ha412HOChr02	RH_e	1314	146560181	146635491	9.009669500000001
Ha412HOChr03	bFFP_e	660	58805786	59009604	13.537467765
Ha412HOChr03	DD_18_e	660	58805786	59009604	12.018752785
Ha412HOChr03	DD18_e	660	58805786	59009604	13.753157675
Ha412HOChr03	DD5_e	660	58805786	59009604	14.916491415
Ha412HOChr03	elevation_e	660	58805786	59009604	15.486807429999999
Ha412HOChr03	Eref_e	660	58805786	59009604	7.76215904
Ha412HOChr03	EXT_e	660	58805786	59009604	15.650911045
Ha412HOChr03	FFP_e	660	58805786	59009604	13.010463505
Ha412HOChr03	longitude_e	660	58805786	59009604	10.681170885
Ha412HOChr03	MAT_e	660	58805786	59009604	12.9748533
Ha412HOChr03	MWMT_e	660	58805786	59009604	14.73036501
Ha412HOChr03	NFFD_e	660	58805786	59009604	8.72915682
Ha412HOChr04	EMT_e	2080	210430616	210438918	14.49630522
Ha412HOChr04	latitude_e	2080	210430616	210438918	9.12841822
Ha412HOChr04	MCMT_e	2080	210430616	210438918	6.537487155
Ha412HOChr04	RH_e	2080	210430616	210438918	11.09801018
Ha412HOChr06	AHM_e	1897	122780833	122871926	8.37825685
Ha412HOChr06	AHM_e	1898	122871994	122882176	8.87885897
Ha412HOChr06	DD_0_e	1966	129001016	129006023	15.308900125
Ha412HOChr06	DD_0_e	1967	129006055	129053860	15.241443610000001
Ha412HOChr06	DD_18_e	1966	129001016	129006023	9.94828988
Ha412HOChr06	DD_18_e	1967	129006055	129053860	10.623284250000001
Ha412HOChr06	MAP_e	1898	122871994	122882176	10.945593625
Ha412HOChr06	MAT_e	1967	129006055	129053860	10.340144729999999
Ha412HOChr06	MCMT_e	1966	129001016	129006023	7.60705161
Ha412HOChr06	MCMT_e	1967	129006055	129053860	7.227878255
Ha412HOChr06	RH_e	1763	99139031	99148707	8.489309214999999
Ha412HOChr07	MAR_e	192	22102793	22127409	5.628620455
Ha412HOChr08	bFFP_e	1465	84437280	84483716	9.6498953
Ha412HOChr08	FFP_e	1465	84437280	84483716	10.04848831
Ha412HOChr08	longitude_e	1465	84437280	84483716	10.71939873
Ha412HOChr08	MAR_e	1255	65696581	65720168	3.7553044
Ha412HOChr08	MWMT_e	1465	84437280	84483716	10.046072825
Ha412HOChr10	SHM_e	923	75799915	75805769	8.749376605
Ha412HOChr11	bFFP_e	1321	118375920	118377925	11.743821780000001
Ha412HOChr11	bFFP_e	1322	118377932	118417422	12.787172535
Ha412HOChr11	DD_0_e	422	23644420	23652086	8.79863099
Ha412HOChr11	DD_0_e	1321	118375920	118377925	12.917907645
Ha412HOChr11	DD_0_e	1322	118377932	118417422	12.397298545
Ha412HOChr11	DD_18_e	1321	118375920	118377925	12.978421675
Ha412HOChr11	DD_18_e	1322	118377932	118417422	12.563776924999999
Ha412HOChr11	eFFP_e	1321	118375920	118377925	15.634793174999999
Ha412HOChr11	eFFP_e	1322	118377932	118417422	15.462362025000001
Ha412HOChr11	EMT_e	1321	118375920	118377925	15.272818919999999
Ha412HOChr11	EMT_e	1322	118377932	118417422	14.607320845
Ha412HOChr11	FFP_e	1321	118375920	118377925	13.815765165
Ha412HOChr11	FFP_e	1322	118377932	118417422	14.76846997
Ha412HOChr11	latitude_e	1321	118375920	118377925	7.845775115
Ha412HOChr11	MAT_e	1321	118375920	118377925	11.99183669
Ha412HOChr11	MAT_e	1322	118377932	118417422	11.956836355
Ha412HOChr11	MCMT_e	1321	118375920	118377925	9.86679995
Ha412HOChr11	MCMT_e	1322	118377932	118417422	9.196391949999999
Ha412HOChr11	NFFD_e	1321	118375920	118377925	13.846808585
Ha412HOChr11	NFFD_e	1322	118377932	118417422	13.376920925
Ha412HOChr12	AHM_e	1319	48345705	48366142	17.391451664999998
Ha412HOChr12	AHM_e	1320	48366173	48390974	17.037163015
Ha412HOChr12	AHM_e	1321	48391076	48420447	18.15239634
Ha412HOChr12	AHM_e	1322	48420914	48460765	11.118590885
Ha412HOChr12	AHM_e	1323	48460773	48463264	11.337262595
Ha412HOChr12	AHM_e	1324	48468831	48518483	7.89299378
Ha412HOChr12	bFFP_e	1333	49262226	49472281	13.514874465
Ha412HOChr12	bFFP_e	1337	50659311	50817884	15.149925845
Ha412HOChr12	bFFP_e	1341	51487644	51513234	9.756534285
Ha412HOChr12	CMD_e	1319	48345705	48366142	10.260405925
Ha412HOChr12	CMD_e	1320	48366173	48390974	10.88811084
Ha412HOChr12	CMD_e	1321	48391076	48420447	11.155302265
Ha412HOChr12	CMD_e	1323	48460773	48463264	5.330461175
Ha412HOChr12	DD_0_e	1333	49262226	49472281	9.17960873
Ha412HOChr12	DD_0_e	1337	50659311	50817884	13.53022399
Ha412HOChr12	DD_18_e	1333	49262226	49472281	17.629113595
Ha412HOChr12	DD_18_e	1335	49782678	50079256	9.879511529999998
Ha412HOChr12	DD_18_e	1337	50659311	50817884	17.90903161
Ha412HOChr12	DD_18_e	1341	51487644	51513234	11.02096366
Ha412HOChr12	DD18_e	1332	48925152	49250724	13.327449035
Ha412HOChr12	DD18_e	1333	49262226	49472281	21.335015775000002
Ha412HOChr12	DD18_e	1335	49782678	50079256	13.532615175
Ha412HOChr12	DD18_e	1336	50079307	50472207	13.237399629999999
Ha412HOChr12	DD18_e	1337	50659311	50817884	19.696208845
Ha412HOChr12	DD18_e	1339	51308493	51404287	11.173207080000001
Ha412HOChr12	DD18_e	1340	51404304	51487627	13.58221207
Ha412HOChr12	DD18_e	1341	51487644	51513234	19.940236905
Ha412HOChr12	DD5_e	1332	48925152	49250724	12.26294713
Ha412HOChr12	DD5_e	1333	49262226	49472281	20.69517651
Ha412HOChr12	DD5_e	1335	49782678	50079256	12.676820765
Ha412HOChr12	DD5_e	1336	50079307	50472207	11.53664492
Ha412HOChr12	DD5_e	1337	50659311	50817884	20.332709209999997
Ha412HOChr12	DD5_e	1339	51308493	51404287	11.373945500000001
Ha412HOChr12	DD5_e	1340	51404304	51487627	12.22083724
Ha412HOChr12	DD5_e	1341	51487644	51513234	16.85062798
Ha412HOChr12	eFFP_e	1332	48925152	49250724	11.107161864999998
Ha412HOChr12	eFFP_e	1333	49262226	49472281	16.583319705
Ha412HOChr12	eFFP_e	1337	50659311	50817884	18.327424955
Ha412HOChr12	eFFP_e	1339	51308493	51404287	11.193035505000001
Ha412HOChr12	eFFP_e	1340	51404304	51487627	10.973589455
Ha412HOChr12	eFFP_e	1341	51487644	51513234	16.782043415
Ha412HOChr12	elevation_e	1319	48345705	48366142	13.9323548
Ha412HOChr12	elevation_e	1320	48366173	48390974	13.57062863
Ha412HOChr12	elevation_e	1321	48391076	48420447	12.964705089999999
Ha412HOChr12	elevation_e	1333	49262226	49472281	14.642358805
Ha412HOChr12	elevation_e	1337	50659311	50817884	12.97688314
Ha412HOChr12	elevation_e	1341	51487644	51513234	12.19731017
Ha412HOChr12	EMT_e	1332	48925152	49250724	7.488005375
Ha412HOChr12	EMT_e	1333	49262226	49472281	13.882554800000001
Ha412HOChr12	EMT_e	1335	49782678	50079256	9.39747863
Ha412HOChr12	EMT_e	1337	50659311	50817884	14.50303331
Ha412HOChr12	EMT_e	1340	51404304	51487627	8.86911523
Ha412HOChr12	EMT_e	1341	51487644	51513234	11.86531306
Ha412HOChr12	EMT_e	1345	51948490	52832596	8.035379135
Ha412HOChr12	Eref_e	1332	48925152	49250724	7.40199853
Ha412HOChr12	Eref_e	1333	49262226	49472281	15.890425645
Ha412HOChr12	Eref_e	1335	49782678	50079256	7.955384690000001
Ha412HOChr12	Eref_e	1336	50079307	50472207	7.12815715
Ha412HOChr12	Eref_e	1337	50659311	50817884	14.73749114
Ha412HOChr12	Eref_e	1339	51308493	51404287	7.430413
Ha412HOChr12	Eref_e	1341	51487644	51513234	9.71679986
Ha412HOChr12	EXT_e	1333	49262226	49472281	13.572490264999999
Ha412HOChr12	EXT_e	1337	50659311	50817884	13.448181085
Ha412HOChr12	EXT_e	1350	54900483	55005158	9.086350575
Ha412HOChr12	FFP_e	1333	49262226	49472281	15.91526447
Ha412HOChr12	FFP_e	1337	50659311	50817884	16.71388469
Ha412HOChr12	FFP_e	1339	51308493	51404287	10.276554425
Ha412HOChr12	FFP_e	1341	51487644	51513234	13.1987881
Ha412HOChr12	latitude_e	1332	48925152	49250724	10.29672951
Ha412HOChr12	latitude_e	1333	49262226	49472281	15.229727104999998
Ha412HOChr12	latitude_e	1335	49782678	50079256	11.92120265
Ha412HOChr12	latitude_e	1336	50079307	50472207	8.391710585
Ha412HOChr12	latitude_e	1337	50659311	50817884	15.762605675
Ha412HOChr12	latitude_e	1339	51308493	51404287	8.755672075
Ha412HOChr12	latitude_e	1341	51487644	51513234	15.296562935
Ha412HOChr12	latitude_e	1345	51948490	52832596	8.107203405
Ha412HOChr12	longitude_e	1319	48345705	48366142	13.523224415000001
Ha412HOChr12	longitude_e	1320	48366173	48390974	11.58499737
Ha412HOChr12	longitude_e	1321	48391076	48420447	14.303164075
Ha412HOChr12	MAP_e	1319	48345705	48366142	24.201934129999998
Ha412HOChr12	MAP_e	1320	48366173	48390974	22.542410375
Ha412HOChr12	MAP_e	1321	48391076	48420447	23.69352992
Ha412HOChr12	MAP_e	1322	48420914	48460765	13.271024125
Ha412HOChr12	MAP_e	1323	48460773	48463264	13.878998285
Ha412HOChr12	MAP_e	1324	48468831	48518483	10.972975735
Ha412HOChr12	MAP_e	1341	51487644	51513234	14.729350655000001
Ha412HOChr12	MAT_e	1333	49262226	49472281	19.34020461
Ha412HOChr12	MAT_e	1335	49782678	50079256	11.417180445
Ha412HOChr12	MAT_e	1337	50659311	50817884	18.70079199
Ha412HOChr12	MAT_e	1340	51404304	51487627	10.59894661
Ha412HOChr12	MAT_e	1341	51487644	51513234	13.73510936
Ha412HOChr12	MCMT_e	1333	49262226	49472281	8.32825232
Ha412HOChr12	MCMT_e	1337	50659311	50817884	10.616636204999999
Ha412HOChr12	MSP_e	1319	48345705	48366142	22.441952129999997
Ha412HOChr12	MSP_e	1320	48366173	48390974	19.363706815
Ha412HOChr12	MSP_e	1321	48391076	48420447	23.584396035
Ha412HOChr12	MSP_e	1322	48420914	48460765	12.840941099999998
Ha412HOChr12	MSP_e	1323	48460773	48463264	13.55446407
Ha412HOChr12	MSP_e	1324	48468831	48518483	10.13105628
Ha412HOChr12	MSP_e	1341	51487644	51513234	9.740072805
Ha412HOChr12	MWMT_e	1333	49262226	49472281	17.46173402
Ha412HOChr12	MWMT_e	1335	49782678	50079256	9.9154768
Ha412HOChr12	MWMT_e	1337	50659311	50817884	18.53748076
Ha412HOChr12	MWMT_e	1341	51487644	51513234	13.369670235000001
Ha412HOChr12	NFFD_e	1332	48925152	49250724	8.535229704999999
Ha412HOChr12	NFFD_e	1333	49262226	49472281	13.385351535000002
Ha412HOChr12	NFFD_e	1335	49782678	50079256	8.557111475
Ha412HOChr12	NFFD_e	1337	50659311	50817884	14.095483954999999
Ha412HOChr12	NFFD_e	1340	51404304	51487627	9.13413676
Ha412HOChr12	NFFD_e	1341	51487644	51513234	11.015993745
Ha412HOChr12	RH_e	1319	48345705	48366142	20.173648335000003
Ha412HOChr12	RH_e	1320	48366173	48390974	16.634199375
Ha412HOChr12	RH_e	1321	48391076	48420447	20.489433575
Ha412HOChr12	RH_e	1322	48420914	48460765	7.685029865000001
Ha412HOChr12	RH_e	1323	48460773	48463264	9.426250815
Ha412HOChr12	SHM_e	1319	48345705	48366142	15.402826905000001
Ha412HOChr12	SHM_e	1320	48366173	48390974	12.52323474
Ha412HOChr12	SHM_e	1321	48391076	48420447	16.78733757
Ha412HOChr12	SHM_e	1322	48420914	48460765	9.63138746
Ha412HOChr12	SHM_e	1323	48460773	48463264	10.74618169
Ha412HOChr12	SHM_e	1324	48468831	48518483	7.86865172
