chr	pos	LG	cM
Ha412HOChr01	1	01	0.01
Ha412HOChr01	1000001	01	0.48
Ha412HOChr01	2000001	01	2.83
Ha412HOChr01	3000001	01	5.26
Ha412HOChr01	4000001	01	6.81
Ha412HOChr01	5000001	01	8.02
Ha412HOChr01	6000001	01	8.89
Ha412HOChr01	7000001	01	9.46
Ha412HOChr01	8000001	01	10.06
Ha412HOChr01	9000001	01	10.62
Ha412HOChr01	10000001	01	11.27
Ha412HOChr01	11000001	01	11.88
Ha412HOChr01	12000001	01	11.88
Ha412HOChr01	13000001	01	11.88
Ha412HOChr01	14000001	01	11.88
Ha412HOChr01	15000001	01	11.88
Ha412HOChr01	16000001	01	11.88
Ha412HOChr01	17000001	01	11.88
Ha412HOChr01	18000001	01	12.02
Ha412HOChr01	19000001	01	12.32
Ha412HOChr01	20000001	01	12.45
Ha412HOChr01	21000001	01	12.47
Ha412HOChr01	22000001	01	12.47
Ha412HOChr01	23000001	01	12.47
Ha412HOChr01	24000001	01	12.47
Ha412HOChr01	25000001	01	12.47
Ha412HOChr01	26000001	01	12.47
Ha412HOChr01	27000001	01	12.47
Ha412HOChr01	28000001	01	12.47
Ha412HOChr01	29000001	01	12.47
Ha412HOChr01	30000001	01	12.47
Ha412HOChr01	31000001	01	12.47
Ha412HOChr01	32000001	01	12.48
Ha412HOChr01	33000001	01	12.48
Ha412HOChr01	34000001	01	12.48
Ha412HOChr01	35000001	01	12.48
Ha412HOChr01	36000001	01	12.48
Ha412HOChr01	37000001	01	12.48
Ha412HOChr01	38000001	01	12.48
Ha412HOChr01	39000001	01	12.48
Ha412HOChr01	40000001	01	12.48
Ha412HOChr01	41000001	01	12.48
Ha412HOChr01	42000001	01	12.48
Ha412HOChr01	43000001	01	12.48
Ha412HOChr01	44000001	01	12.48
Ha412HOChr01	45000001	01	12.48
Ha412HOChr01	46000001	01	12.48
Ha412HOChr01	47000001	01	12.48
Ha412HOChr01	48000001	01	12.48
Ha412HOChr01	49000001	01	12.48
Ha412HOChr01	50000001	01	12.48
Ha412HOChr01	51000001	01	12.48
Ha412HOChr01	52000001	01	12.48
Ha412HOChr01	53000001	01	12.48
Ha412HOChr01	54000001	01	12.48
Ha412HOChr01	55000001	01	12.48
Ha412HOChr01	56000001	01	12.48
Ha412HOChr01	57000001	01	12.48
Ha412HOChr01	58000001	01	12.48
Ha412HOChr01	59000001	01	12.6
Ha412HOChr01	60000001	01	13.07
Ha412HOChr01	61000001	01	13.57
Ha412HOChr01	62000001	01	13.91
