chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	ANN1361	ANN1132	1164.5	3488
Ha412HOChr01	0	DEB_1136	ANN1361	1948	3488
Ha412HOChr01	0	DEB_1136	ANN1132	1916	3488
Ha412HOChr01	1000000	ANN1361	ANN1132	1911.5	4202
Ha412HOChr01	1000000	DEB_1136	ANN1361	2011.5	4202
Ha412HOChr01	1000000	DEB_1136	ANN1132	1909	4202
Ha412HOChr01	10000000	ANN1361	ANN1132	1272.5	3194
Ha412HOChr01	10000000	DEB_1136	ANN1361	1916	3194
Ha412HOChr01	10000000	DEB_1136	ANN1132	1892	3194
Ha412HOChr01	100000000	ANN1361	ANN1132	272	882
Ha412HOChr01	100000000	DEB_1136	ANN1361	458.5	882
Ha412HOChr01	100000000	DEB_1136	ANN1132	419	882
Ha412HOChr01	101000000	ANN1361	ANN1132	350	1140
Ha412HOChr01	101000000	DEB_1136	ANN1361	735	1140
Ha412HOChr01	101000000	DEB_1136	ANN1132	757.5	1140
Ha412HOChr01	102000000	ANN1361	ANN1132	1277	2942
Ha412HOChr01	102000000	DEB_1136	ANN1361	1456	2942
Ha412HOChr01	102000000	DEB_1136	ANN1132	1611.5	2942
Ha412HOChr01	103000000	ANN1361	ANN1132	1032	2122
Ha412HOChr01	103000000	DEB_1136	ANN1361	1123	2122
Ha412HOChr01	103000000	DEB_1136	ANN1132	1196.5	2122
Ha412HOChr01	104000000	ANN1361	ANN1132	1260	2894
Ha412HOChr01	104000000	DEB_1136	ANN1361	1666.5	2894
Ha412HOChr01	104000000	DEB_1136	ANN1132	1594.5	2894
Ha412HOChr01	105000000	ANN1361	ANN1132	274.5	1028
Ha412HOChr01	105000000	DEB_1136	ANN1361	724	1028
Ha412HOChr01	105000000	DEB_1136	ANN1132	741	1028
Ha412HOChr01	106000000	ANN1361	ANN1132	598	1986
Ha412HOChr01	106000000	DEB_1136	ANN1361	1294	1986
Ha412HOChr01	106000000	DEB_1136	ANN1132	1239	1986
Ha412HOChr01	107000000	ANN1361	ANN1132	1124	2556
Ha412HOChr01	107000000	DEB_1136	ANN1361	1438	2556
Ha412HOChr01	107000000	DEB_1136	ANN1132	1405.5	2556
Ha412HOChr01	108000000	ANN1361	ANN1132	664.5	1972
Ha412HOChr01	108000000	DEB_1136	ANN1361	1156	1972
Ha412HOChr01	108000000	DEB_1136	ANN1132	1167	1972
Ha412HOChr01	109000000	ANN1361	ANN1132	726.5	2506
Ha412HOChr01	109000000	DEB_1136	ANN1361	1483	2506
Ha412HOChr01	109000000	DEB_1136	ANN1132	1577.5	2506
Ha412HOChr01	11000000	ANN1361	ANN1132	819	1636
Ha412HOChr01	11000000	DEB_1136	ANN1361	945.5	1636
Ha412HOChr01	11000000	DEB_1136	ANN1132	823	1636
Ha412HOChr01	110000000	ANN1361	ANN1132	514.5	1534
Ha412HOChr01	110000000	DEB_1136	ANN1361	969.5	1534
Ha412HOChr01	110000000	DEB_1136	ANN1132	934	1534
Ha412HOChr01	111000000	ANN1361	ANN1132	594.5	1948
Ha412HOChr01	111000000	DEB_1136	ANN1361	1198.5	1948
Ha412HOChr01	111000000	DEB_1136	ANN1132	1135.5	1948
Ha412HOChr01	112000000	ANN1361	ANN1132	824	2810
Ha412HOChr01	112000000	DEB_1136	ANN1361	1855	2810
Ha412HOChr01	112000000	DEB_1136	ANN1132	1811	2810
Ha412HOChr01	113000000	ANN1361	ANN1132	1349.5	3590
Ha412HOChr01	113000000	DEB_1136	ANN1361	2158.5	3590
Ha412HOChr01	113000000	DEB_1136	ANN1132	2138	3590
Ha412HOChr01	114000000	ANN1361	ANN1132	1195	3144
Ha412HOChr01	114000000	DEB_1136	ANN1361	1771.5	3144
Ha412HOChr01	114000000	DEB_1136	ANN1132	1868.5	3144
Ha412HOChr01	115000000	ANN1361	ANN1132	1238.5	2988
Ha412HOChr01	115000000	DEB_1136	ANN1361	1639.5	2988
Ha412HOChr01	115000000	DEB_1136	ANN1132	1704.5	2988
Ha412HOChr01	116000000	ANN1361	ANN1132	981.5	2906
Ha412HOChr01	116000000	DEB_1136	ANN1361	1588	2906
Ha412HOChr01	116000000	DEB_1136	ANN1132	1611.5	2906
Ha412HOChr01	117000000	ANN1361	ANN1132	1489.5	4096
Ha412HOChr01	117000000	DEB_1136	ANN1361	2310	4096
Ha412HOChr01	117000000	DEB_1136	ANN1132	2389	4096
Ha412HOChr01	118000000	ANN1361	ANN1132	1909.5	4350
Ha412HOChr01	118000000	DEB_1136	ANN1361	2490	4350
Ha412HOChr01	118000000	DEB_1136	ANN1132	2567	4350
Ha412HOChr01	119000000	ANN1361	ANN1132	1243	2802
Ha412HOChr01	119000000	DEB_1136	ANN1361	1496	2802
