mds_coord	betweenSS	het_pvalue	window_cluster	location
mds01-pos	0.9970240004568202	NA	5.051724137931035	HanXRQChr04:127MB
mds04-pos	0.9916915243830531	2.13e-21	9.2	HanXRQChr05:212MB
mds04-neg	0.9963133788540428	3.17e-33	1.9583333333333333	HanXRQChr09:136MB
mds05-neg	0.9953805862555188	4.84e-8	4.390625	HanXRQChr17:61MB
mds07-neg	0.9931440443013811	0.0294	1.4745762711864407	HanXRQChr06:31MB
mds08-neg	0.9879889914496776	9.78e-15	1.5185185185185186	HanXRQChr14:127MB
mds11-neg	0.98536057437882	3.97e-11	7	HanXRQChr02:79MB
mds14-pos	0.9622260687170465	2.31e-8	3.769230769230769	HanXRQChr06:81MB
mds16-pos	0.9328464578125716	0.0574	7.666666666666667	HanXRQChr08:111MB
mds17-pos	0.9939751941666308	5.08e-11	2.6875	HanXRQChr17:21MB
mds17-neg	0.9394323155383567	2.97e-5	9.058823529411764	HanXRQChr08:101MB
mds18-pos	0.9778972825734619	0.00646	1.4761904761904763	HanXRQChr17:209MB
mds20-neg	0.9698733188053287	6.14e-16	23.2	HanXRQChr03:80MB
mds21-neg	0.9135346578996134	3.43e-4	9.545454545454545	HanXRQChr08:128MB
mds23-neg	0.8993669000295983	8.16e-10	1.4444444444444444	HanXRQChr13:27MB
mds24-pos	0.9293930597759507	0.176	9.142857142857142	HanXRQChr11:87MB
mds26-neg	0.9506833565282706	4.36e-16	6.375	HanXRQChr12:124MB
mds27-pos	0.90290923550699	0.00164	15	HanXRQChr10:126MB
mds27-neg	0.8748593140683383	7.7e-4	3.1739130434782608	HanXRQChr09:85MB
mds31-neg	0.9559102372077295	2.44e-4	3	HanXRQChr09:99MB
mds35-neg	0.9607620873418106	NA	11.3125	HanXRQChr05:24MB
mds36-pos	0.9623460245115675	NA	1.3846153846153846	HanXRQChr07:61MB
mds36-neg	0.943176479464385	2.07e-12	13.6	HanXRQChr10:134MB
mds37-neg	0.9103501920405409	1.13e-7	10.666666666666666	HanXRQChr03:39MB
mds38-pos	0.9906041944403421	2.77e-6	2.4444444444444446	HanXRQChr01:11MB
mds38-neg	0.9153677490577823	1.27e-9	11	HanXRQChr10:131MB
mds39-neg	0.9436279220097665	2.83e-10	1.4444444444444444	HanXRQChr15:153MB
mds40-pos	0.9607352312608308	8.59e-5	1.8333333333333333	HanXRQChr01:28MB
mds40-neg	0.9476204009891832	1.7e-5	10.307692307692308	HanXRQChr05:100MB
