chr	variable	window	start	end	median_bayes
Ha412HOChr01	K	123	6068910	6074597	-1.25382301
Ha412HOChr01	K	1164	90868577	90974621	-0.591688055
Ha412HOChr01	K	1421	107144924	107211231	1.61474612
Ha412HOChr01	OM	291	23097341	23335850	-1.0317430650000001
Ha412HOChr01	OM	295	24010665	24016555	-1.45600033
Ha412HOChr01	OM	310	28611172	28932965	-1.2020678500000002
Ha412HOChr01	OM	1353	98927223	98931569	2.65396262
Ha412HOChr01	P2	291	23097341	23335850	2.770465095
Ha412HOChr01	PERCENT_K	1421	107144924	107211231	3.226832415
Ha412HOChr01	sodium	315	29351022	29354755	1.973950015
Ha412HOChr02	BICARB	902	104430227	104433785	1.74756377
Ha412HOChr02	BICARB	1815	169250521	169259629	1.28271264
Ha412HOChr02	MG	5	2750524	2754143	2.845680925
Ha412HOChr02	OM	872	101928227	101966180	1.91949579
Ha412HOChr02	PERCENT_CA	4	2744660	2750499	3.9866936
Ha412HOChr02	PERCENT_CA	5	2750524	2754143	5.048173415
Ha412HOChr02	PERCENT_CA	902	104430227	104433785	9.191386125000001
Ha412HOChr02	PERCENT_MG	4	2744660	2750499	3.41937134
Ha412HOChr02	PERCENT_MG	5	2750524	2754143	7.42948859
Ha412HOChr02	PERCENT_MG	33	3967193	3994633	0.58398292
Ha412HOChr02	PERCENT_MG	902	104430227	104433785	6.98556547
Ha412HOChr02	pH	33	3967193	3994633	1.411726695
Ha412HOChr03	K	805	72444762	72547676	-0.3096536
Ha412HOChr04	MG	1137	128925606	129318187	-0.7230052
Ha412HOChr04	OM	1136	128921214	128925349	0.05689054
Ha412HOChr04	OM	1137	128925606	129318187	5.47318367
Ha412HOChr04	P1	2186	210430504	210441745	-0.299391085
Ha412HOChr04	PERCENT_CA	1033	102213000	102217538	5.098921295
Ha412HOChr04	PERCENT_CA	1137	128925606	129318187	5.665773124999999
Ha412HOChr04	PERCENT_K	1137	128925606	129318187	2.32718177
Ha412HOChr04	PERCENT_MG	1137	128925606	129318187	1.6476605100000001
Ha412HOChr04	PERCENT_NA	1033	102213000	102217538	4.514964645
Ha412HOChr04	pH	1137	128925606	129318187	1.304467515
Ha412HOChr05	BICARB	837	90579741	90637059	1.4789690700000002
Ha412HOChr05	MG	820	89565139	89578587	-1.37573777
Ha412HOChr05	MG	860	92476041	92479883	-0.63280791
Ha412HOChr05	PERCENT_MG	860	92476041	92479883	3.51515275
Ha412HOChr05	pH	860	92476041	92479883	2.500737135
Ha412HOChr06	BICARB	1817	99026243	99030987	1.6321998500000001
Ha412HOChr06	BICARB	1998	128611039	128670831	1.7687127999999999
Ha412HOChr06	MG	1928	119679543	119684907	-1.6084368649999998
Ha412HOChr06	MG	1929	119684916	120182122	-0.409146815
Ha412HOChr06	OM	1929	119684916	120182122	-1.1390027200000001
Ha412HOChr06	OM	1934	120910760	121021539	0.20428495
Ha412HOChr06	P1	1716	89094888	89098749	1.91154725
Ha412HOChr06	P1	1792	96494362	96696257	1.6929923900000001
Ha412HOChr06	P1	1985	126601847	126713814	-0.35094692
Ha412HOChr06	P2	1949	123254644	123486087	0.21096042
Ha412HOChr06	P2	1985	126601847	126713814	0.893172155
Ha412HOChr06	P2	2012	130439398	130697017	2.6704193600000004
Ha412HOChr06	PERCENT_CA	2005	129006407	129054121	1.715198725
Ha412HOChr06	PERCENT_CA	2102	143414872	143427170	2.6135922450000004
Ha412HOChr06	PERCENT_K	2102	143414872	143427170	1.013337235
Ha412HOChr06	pH	1934	120910760	121021539	2.437176975
Ha412HOChr06	pH	1939	122011117	122191764	3.142001005
Ha412HOChr06	pH	2005	129006407	129054121	4.11704668
Ha412HOChr06	sodium	1379	60153423	60158566	1.98958433
Ha412HOChr06	sodium	1494	70747612	70879767	2.438163385
Ha412HOChr06	sodium	1548	74462363	74512153	2.125754905
Ha412HOChr06	SOL_SALTS	1716	89094888	89098749	2.655452565
Ha412HOChr06	SOL_SALTS	1717	89098758	89304671	3.28015516
Ha412HOChr06	SOL_SALTS	1718	89304890	89365057	0.70167393
Ha412HOChr06	SOL_SALTS	1926	119511812	119531083	0.5872153
Ha412HOChr06	SOL_SALTS	1928	119679543	119684907	1.44328411
Ha412HOChr06	SOL_SALTS	1929	119684916	120182122	0.73883737
Ha412HOChr06	SOL_SALTS	2012	130439398	130697017	1.059640355
Ha412HOChr06	SOL_SALTS	2022	135918746	136122263	5.73329311
Ha412HOChr07	BICARB	282	27641240	27798235	3.291596085
Ha412HOChr07	PERCENT_K	321	31713280	31715688	1.32870822
Ha412HOChr07	PERCENT_K	322	31715694	31725727	2.90591626
Ha412HOChr08	BICARB	1558	85088080	85092844	2.1902516899999998
Ha412HOChr08	CEC	2429	166036238	166171400	0.63026968
Ha412HOChr08	P1	2309	145428127	145431965	-0.42273343500000005
Ha412HOChr08	P2	2305	145204058	145253666	1.5378964499999999
Ha412HOChr08	P2	2309	145428127	145431965	1.03235592
Ha412HOChr08	PERCENT_K	2353	151783597	151785988	3.5404756
Ha412HOChr08	PERCENT_MG	2459	172162298	172418037	0.866404595
Ha412HOChr08	pH	2419	163068696	163081571	2.080933475
Ha412HOChr08	sodium	2048	116567057	116572548	1.76425996
Ha412HOChr08	sodium	2448	170617182	170706761	2.06150195
Ha412HOChr10	BICARB	873	64616914	64688227	2.1912727700000003
Ha412HOChr10	PERCENT_CA	1099	100544311	100638076	2.72999833
Ha412HOChr10	PERCENT_K	1434	122753882	122765149	0.56620738
Ha412HOChr10	sodium	933	71980173	72279898	1.764745295
Ha412HOChr11	CA	692	34120463	34136221	2.28781023
Ha412HOChr11	CA	960	50648414	50653408	3.935748435
Ha412HOChr11	CEC	692	34120463	34136221	2.37818168
Ha412HOChr11	CEC	960	50648414	50653408	4.809656205
Ha412HOChr11	K	1501	119870711	119874310	-1.0543379750000001
Ha412HOChr11	MG	1202	68020571	68030256	-1.36516458
Ha412HOChr11	MG	1204	68032832	68035802	-0.729845615
Ha412HOChr11	MG	1205	68035840	68041967	-0.607446735
Ha412HOChr11	P1	1243	74746130	74748807	0.09384651
Ha412HOChr11	P1	1244	74748840	74751767	0.519729095
Ha412HOChr11	PERCENT_NA	960	50648414	50653408	3.399152465
Ha412HOChr11	sodium	2168	176602656	176605982	2.745107425
Ha412HOChr12	K	2192	121439741	121441085	-0.6685863350000001
Ha412HOChr12	K	2199	122229556	122530284	2.02178301
Ha412HOChr12	K	2318	146792519	146799013	0.196775365
Ha412HOChr12	OM	2199	122229556	122530284	0.376839555
Ha412HOChr12	P1	1988	97053318	97174341	-0.375712755
Ha412HOChr12	P1	2318	146792519	146799013	-0.131355155
Ha412HOChr12	P1	2319	146799057	146804244	-0.62381705
Ha412HOChr12	P2	1988	97053318	97174341	1.4097288099999998
Ha412HOChr12	P2	2371	154650915	154654140	0.330474675
Ha412HOChr12	P2	2373	155007527	155013406	0.144792605
Ha412HOChr12	PERCENT_CA	1404	48532461	48537012	1.8459941400000002
Ha412HOChr12	PERCENT_CA	1405	48537082	48542905	1.719808105
Ha412HOChr12	PERCENT_K	1991	97305222	97390901	1.205316155
Ha412HOChr12	PERCENT_K	2318	146792519	146799013	-0.34506489500000004
Ha412HOChr12	PERCENT_K	2339	151468573	151536256	0.273402195
Ha412HOChr12	PERCENT_MG	1404	48532461	48537012	0.93368016
Ha412HOChr12	PERCENT_MG	1405	48537082	48542905	2.07421979
Ha412HOChr12	pH	1404	48532461	48537012	2.2690410500000002
Ha412HOChr12	pH	1405	48537082	48542905	2.154422355
Ha412HOChr12	sodium	1404	48532461	48537012	1.941546
Ha412HOChr12	SOL_SALTS	2238	127344517	127347022	0.9572843099999999
Ha412HOChr13	K	190	24187619	24238097	-1.40422957
Ha412HOChr13	PERCENT_MG	576	66505322	66511165	0.725185415
Ha412HOChr14	BICARB	478	52065251	52066271	2.79312018
Ha412HOChr14	BICARB	479	52066276	52525325	3.371523485
Ha412HOChr14	CA	1092	109861050	110060084	3.393290005
Ha412HOChr14	CA	1211	115945377	116015539	1.02151956
Ha412HOChr14	CA	1212	116015587	116124256	0.580787165
Ha412HOChr14	CA	1548	136386816	136391539	1.005931025
Ha412HOChr14	CA	1685	141973733	142036787	2.20717503
Ha412HOChr14	CA	2099	156715766	156718354	1.436480255
Ha412HOChr14	CA	2296	162426304	162429235	0.908124965
Ha412HOChr14	CA	2489	168778767	168801368	1.389676025
Ha412HOChr14	CEC	1092	109861050	110060084	1.150779325
Ha412HOChr14	CEC	1211	115945377	116015539	1.2742138349999999
Ha412HOChr14	CEC	1212	116015587	116124256	0.84873869
Ha412HOChr14	CEC	1548	136386816	136391539	0.57984238
Ha412HOChr14	CEC	1685	141973733	142036787	2.9977684699999996
Ha412HOChr14	CEC	2099	156715766	156718354	0.8138570300000001
Ha412HOChr14	CEC	2349	163716091	163718464	2.190903795
Ha412HOChr14	K	1759	145114769	145172186	0.08894934999999998
Ha412HOChr14	MG	268	25949688	25950851	-1.2140164850000001
Ha412HOChr14	PERCENT_NA	1092	109861050	110060084	3.997224265
Ha412HOChr14	PERCENT_NA	1263	120627364	120631260	3.582342035
Ha412HOChr14	PERCENT_NA	1548	136386816	136391539	5.70712466
Ha412HOChr14	PERCENT_NA	1685	141973733	142036787	4.432228205
Ha412HOChr14	PERCENT_NA	2099	156715766	156718354	5.306669225
Ha412HOChr14	PERCENT_NA	2240	160272447	160274164	3.44694118
Ha412HOChr14	PERCENT_NA	2296	162426304	162429235	3.469627785
Ha412HOChr14	PERCENT_NA	2412	166983428	167009245	3.53967882
Ha412HOChr16	P2	1124	102273462	102311808	0.15988645
Ha412HOChr16	SOL_SALTS	1099	99691088	99852522	1.90228696
Ha412HOChr17	pH	600	17557222	17579389	1.8211456849999998
Ha412HOChr17	sodium	1929	104412762	104420683	1.9180547049999999
