chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	HT239_P-036	HT283_P-19	1488.5	4546
Ha412HOChr01	0	HT239_P-036	HT331_P-10	2363.5	4892
Ha412HOChr01	0	HT283_P-19	HT331_P-10	2069.5	4828
Ha412HOChr01	0	Q23_P-015	HT239_P-036	1870.5	4220
Ha412HOChr01	0	Q23_P-015	HT283_P-19	1924	4092
Ha412HOChr01	0	Q23_P-015	HT331_P-10	1883.5	4422
Ha412HOChr01	1000000	HT239_P-036	HT283_P-19	1795	4404
Ha412HOChr01	1000000	HT239_P-036	HT331_P-10	1820.5	4388
Ha412HOChr01	1000000	HT283_P-19	HT331_P-10	1764.5	4454
Ha412HOChr01	1000000	Q23_P-015	HT239_P-036	1528	3582
Ha412HOChr01	1000000	Q23_P-015	HT283_P-19	1600	3976
Ha412HOChr01	1000000	Q23_P-015	HT331_P-10	1427	3708
Ha412HOChr01	10000000	HT239_P-036	HT283_P-19	2186	4572
Ha412HOChr01	10000000	HT239_P-036	HT331_P-10	2528.5	4720
Ha412HOChr01	10000000	HT283_P-19	HT331_P-10	1664.5	4780
Ha412HOChr01	10000000	Q23_P-015	HT239_P-036	1818.5	3520
Ha412HOChr01	10000000	Q23_P-015	HT283_P-19	1203.5	3548
Ha412HOChr01	10000000	Q23_P-015	HT331_P-10	827.5	3780
Ha412HOChr01	100000000	HT239_P-036	HT283_P-19	855.5	1854
Ha412HOChr01	100000000	HT239_P-036	HT331_P-10	721.5	1800
Ha412HOChr01	100000000	HT283_P-19	HT331_P-10	1237.5	2186
Ha412HOChr01	100000000	Q23_P-015	HT239_P-036	605	1494
Ha412HOChr01	100000000	Q23_P-015	HT283_P-19	759.5	1706
Ha412HOChr01	100000000	Q23_P-015	HT331_P-10	627.5	1620
Ha412HOChr01	101000000	HT239_P-036	HT283_P-19	866.5	2560
Ha412HOChr01	101000000	HT239_P-036	HT331_P-10	752	1742
Ha412HOChr01	101000000	HT283_P-19	HT331_P-10	833.5	1724
Ha412HOChr01	101000000	Q23_P-015	HT239_P-036	645	2242
Ha412HOChr01	101000000	Q23_P-015	HT283_P-19	643	2250
Ha412HOChr01	101000000	Q23_P-015	HT331_P-10	725	1512
Ha412HOChr01	102000000	HT239_P-036	HT283_P-19	1500.5	3070
Ha412HOChr01	102000000	HT239_P-036	HT331_P-10	1367	2978
Ha412HOChr01	102000000	HT283_P-19	HT331_P-10	1249	2980
Ha412HOChr01	102000000	Q23_P-015	HT239_P-036	967.5	2654
Ha412HOChr01	102000000	Q23_P-015	HT283_P-19	1123	2632
Ha412HOChr01	102000000	Q23_P-015	HT331_P-10	937	2620
Ha412HOChr01	103000000	HT239_P-036	HT283_P-19	949	2496
Ha412HOChr01	103000000	HT239_P-036	HT331_P-10	1280.5	2858
Ha412HOChr01	103000000	HT283_P-19	HT331_P-10	1203	2976
Ha412HOChr01	103000000	Q23_P-015	HT239_P-036	1117	2662
Ha412HOChr01	103000000	Q23_P-015	HT283_P-19	1150.5	2598
Ha412HOChr01	103000000	Q23_P-015	HT331_P-10	1193	3034
Ha412HOChr01	104000000	HT239_P-036	HT283_P-19	1569.5	4120
Ha412HOChr01	104000000	HT239_P-036	HT331_P-10	1822.5	4366
Ha412HOChr01	104000000	HT283_P-19	HT331_P-10	1695.5	4738
Ha412HOChr01	104000000	Q23_P-015	HT239_P-036	1491	3648
Ha412HOChr01	104000000	Q23_P-015	HT283_P-19	1309	3968
Ha412HOChr01	104000000	Q23_P-015	HT331_P-10	1411	4152
Ha412HOChr01	105000000	HT239_P-036	HT283_P-19	534.5	2500
Ha412HOChr01	105000000	HT239_P-036	HT331_P-10	1035	2456
Ha412HOChr01	105000000	HT283_P-19	HT331_P-10	1098.5	2526
Ha412HOChr01	105000000	Q23_P-015	HT239_P-036	447.5	2322
Ha412HOChr01	105000000	Q23_P-015	HT283_P-19	404	2358
Ha412HOChr01	105000000	Q23_P-015	HT331_P-10	1005	2354
Ha412HOChr01	106000000	HT239_P-036	HT283_P-19	1050.5	3144
Ha412HOChr01	106000000	HT239_P-036	HT331_P-10	1376	3198
Ha412HOChr01	106000000	HT283_P-19	HT331_P-10	1328.5	3330
Ha412HOChr01	106000000	Q23_P-015	HT239_P-036	902.5	2646
Ha412HOChr01	106000000	Q23_P-015	HT283_P-19	786	2748
Ha412HOChr01	106000000	Q23_P-015	HT331_P-10	1179	2816
Ha412HOChr01	107000000	HT239_P-036	HT283_P-19	1043	2258
Ha412HOChr01	107000000	HT239_P-036	HT331_P-10	765.5	2380
Ha412HOChr01	107000000	HT283_P-19	HT331_P-10	1219	2502
Ha412HOChr01	107000000	Q23_P-015	HT239_P-036	678	1936
Ha412HOChr01	107000000	Q23_P-015	HT283_P-19	860.5	1972
Ha412HOChr01	107000000	Q23_P-015	HT331_P-10	903	2116
Ha412HOChr01	108000000	HT239_P-036	HT283_P-19	1503	4664
Ha412HOChr01	108000000	HT239_P-036	HT331_P-10	1994	4852
Ha412HOChr01	108000000	HT283_P-19	HT331_P-10	1745	4888
Ha412HOChr01	108000000	Q23_P-015	HT239_P-036	1475.5	3756
Ha412HOChr01	108000000	Q23_P-015	HT283_P-19	1173.5	3868
Ha412HOChr01	108000000	Q23_P-015	HT331_P-10	1206	3988
Ha412HOChr01	109000000	HT239_P-036	HT283_P-19	1526	4148
Ha412HOChr01	109000000	HT239_P-036	HT331_P-10	1613	4258
Ha412HOChr01	109000000	HT283_P-19	HT331_P-10	1409.5	4452
Ha412HOChr01	109000000	Q23_P-015	HT239_P-036	1213	3540
Ha412HOChr01	109000000	Q23_P-015	HT283_P-19	1144.5	3684
Ha412HOChr01	109000000	Q23_P-015	HT331_P-10	1212.5	3824
Ha412HOChr01	11000000	HT239_P-036	HT283_P-19	1220	2890
Ha412HOChr01	11000000	HT239_P-036	HT331_P-10	1508	2960
Ha412HOChr01	11000000	HT283_P-19	HT331_P-10	1213.5	3172
Ha412HOChr01	11000000	Q23_P-015	HT239_P-036	1109	2600
Ha412HOChr01	11000000	Q23_P-015	HT283_P-19	360	2734
Ha412HOChr01	11000000	Q23_P-015	HT331_P-10	918.5	2784
Ha412HOChr01	110000000	HT239_P-036	HT283_P-19	824	2932
Ha412HOChr01	110000000	HT239_P-036	HT331_P-10	1324	3068
Ha412HOChr01	110000000	HT283_P-19	HT331_P-10	1322	3274
Ha412HOChr01	110000000	Q23_P-015	HT239_P-036	784	2396
Ha412HOChr01	110000000	Q23_P-015	HT283_P-19	845.5	2510
Ha412HOChr01	110000000	Q23_P-015	HT331_P-10	1055.5	2620
Ha412HOChr01	111000000	HT239_P-036	HT283_P-19	589.5	1676
Ha412HOChr01	111000000	HT239_P-036	HT331_P-10	620	1722
Ha412HOChr01	111000000	HT283_P-19	HT331_P-10	815	2488
Ha412HOChr01	111000000	Q23_P-015	HT239_P-036	420	1404
Ha412HOChr01	111000000	Q23_P-015	HT283_P-19	581	1912
Ha412HOChr01	111000000	Q23_P-015	HT331_P-10	547	1934
Ha412HOChr01	112000000	HT239_P-036	HT283_P-19	1377	3126
Ha412HOChr01	112000000	HT239_P-036	HT331_P-10	1449	3230
Ha412HOChr01	112000000	HT283_P-19	HT331_P-10	990.5	3390
Ha412HOChr01	112000000	Q23_P-015	HT239_P-036	839	2698
Ha412HOChr01	112000000	Q23_P-015	HT283_P-19	952	2800
Ha412HOChr01	112000000	Q23_P-015	HT331_P-10	826	2864
