chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	PET0679	PET0681	275.5	1040
Ha412HOChr01	0	PET0679	PET0685	320	1040
Ha412HOChr01	0	PET0681	PET0685	238	1040
Ha412HOChr01	0	PET0683	PET0679	223.5	1040
Ha412HOChr01	0	PET0683	PET0681	198	1040
Ha412HOChr01	0	PET0683	PET0685	239	1040
Ha412HOChr01	1000000	PET0679	PET0681	1185.5	3636
Ha412HOChr01	1000000	PET0679	PET0685	1247	3636
Ha412HOChr01	1000000	PET0681	PET0685	1221	3636
Ha412HOChr01	1000000	PET0683	PET0679	935	3636
Ha412HOChr01	1000000	PET0683	PET0681	1134.5	3636
Ha412HOChr01	1000000	PET0683	PET0685	1194.5	3636
Ha412HOChr01	10000000	PET0679	PET0681	692	2492
Ha412HOChr01	10000000	PET0679	PET0685	750	2492
Ha412HOChr01	10000000	PET0681	PET0685	771	2492
Ha412HOChr01	10000000	PET0683	PET0679	736.5	2492
Ha412HOChr01	10000000	PET0683	PET0681	775	2492
Ha412HOChr01	10000000	PET0683	PET0685	745.5	2492
Ha412HOChr01	100000000	PET0679	PET0681	80	476
Ha412HOChr01	100000000	PET0679	PET0685	111	476
Ha412HOChr01	100000000	PET0681	PET0685	99	476
Ha412HOChr01	100000000	PET0683	PET0679	130	476
Ha412HOChr01	100000000	PET0683	PET0681	138	476
Ha412HOChr01	100000000	PET0683	PET0685	143.5	476
Ha412HOChr01	101000000	PET0679	PET0681	429	1134
Ha412HOChr01	101000000	PET0679	PET0685	314.5	1134
Ha412HOChr01	101000000	PET0681	PET0685	426.5	1134
Ha412HOChr01	101000000	PET0683	PET0679	305	1134
Ha412HOChr01	101000000	PET0683	PET0681	408	1134
Ha412HOChr01	101000000	PET0683	PET0685	384	1134
Ha412HOChr01	102000000	PET0679	PET0681	624.5	1950
Ha412HOChr01	102000000	PET0679	PET0685	602.5	1950
Ha412HOChr01	102000000	PET0681	PET0685	645	1950
Ha412HOChr01	102000000	PET0683	PET0679	516	1950
Ha412HOChr01	102000000	PET0683	PET0681	638.5	1950
Ha412HOChr01	102000000	PET0683	PET0685	593.5	1950
Ha412HOChr01	103000000	PET0679	PET0681	549.5	1708
Ha412HOChr01	103000000	PET0679	PET0685	371	1708
Ha412HOChr01	103000000	PET0681	PET0685	508	1708
Ha412HOChr01	103000000	PET0683	PET0679	302	1708
Ha412HOChr01	103000000	PET0683	PET0681	541	1708
Ha412HOChr01	103000000	PET0683	PET0685	342	1708
Ha412HOChr01	104000000	PET0679	PET0681	557	1894
Ha412HOChr01	104000000	PET0679	PET0685	594.5	1894
Ha412HOChr01	104000000	PET0681	PET0685	625.5	1894
Ha412HOChr01	104000000	PET0683	PET0679	488.5	1894
Ha412HOChr01	104000000	PET0683	PET0681	600	1894
Ha412HOChr01	104000000	PET0683	PET0685	604.5	1894
Ha412HOChr01	105000000	PET0679	PET0681	258.5	796
Ha412HOChr01	105000000	PET0679	PET0685	138	796
Ha412HOChr01	105000000	PET0681	PET0685	249.5	796
Ha412HOChr01	105000000	PET0683	PET0679	112	796
Ha412HOChr01	105000000	PET0683	PET0681	246	796
Ha412HOChr01	105000000	PET0683	PET0685	145	796
Ha412HOChr01	106000000	PET0679	PET0681	383	1348
