Scaffold ID, scaffold position, LG, genetic position
Ha412HOChr14,159901308,14,45.74
Ha412HOChr15,177432085,15,66.80
Ha412HOChr05,48019219,17,55.18
Ha412HOChr10,41939718,10,42.84
Ha412HOChr04,216506386,4,79.50
Ha412HOChr10,96877015,10,42.84
Ha412HOChr12,38394886,12,39.93
Ha412HOChr17,4880887,17,12.34
Ha412HOChr16,118085946,17,55.18
Ha412HOChr17,165599500,17,55.18
Ha412HOChr05,23299171,5,45.74
Ha412HOChr05,164945588,5,53.37
Ha412HOChr08,8240006,8,14.52
Ha412HOChr10,32265092,10,42.84
Ha412HOChr09,194790254,4,25.41
Ha412HOChr04,1635943,4,2.90
Ha412HOChr05,150892293,5,53.37
Ha412HOChr17,190887729,17,58.81
Ha412HOChr17,71968918,17,54.45
Ha412HOChr08,8336999,8,15.97
Ha412HOChr15,162209427,17,54.45
Ha412HOChr11,13508482,11,32.31
Ha412HOChr10,10704816,10,21.42
Ha412HOChr05,33759639,5,47.56
Ha412HOChr06,48293668,6,42.11
Ha412HOChr04,214132995,4,69.70
Ha412HOChr10,106977760,10,42.84
Ha412HOChr13,146470917,13,58.08
Ha412HOChr16,190396251,16,56.63
Ha412HOChr10,26210334,10,38.48
Ha412HOChr13,123477352,13,54.45
Ha412HOChr16,35913068,12,56.63
Ha412HOChr08,37404206,8,43.93
Ha412HOChr03,89269316,3,26.14
Ha412HOChr12,99838265,12,56.63
Ha412HOChr12,176675628,12,64.98
Ha412HOChr08,2703574,8,7.99
Ha412HOChr01,136345950,1,29.77
Ha412HOChr11,157130226,11,51.91
Ha412HOChr04,174533764,4,51.55
Ha412HOChr16,210644778,16,79.87
Ha412HOChr10,39331452,10,42.84
Ha412HOChr01,121400524,17,55.91
Ha412HOChr05,159523018,5,53.37
Ha412HOChr05,121635885,5,48.65
Ha412HOChr04,198978867,4,60.26
Ha412HOChr11,8752536,3,46.47
Ha412HOChr07,121118831,7,15.97
Ha412HOChr15,23935992,15,29.77
Ha412HOChr03,81457509,3,26.14
Ha412HOChr04,30513605,3,26.86
Ha412HOChr17,10728497,17,26.14
Ha412HOChr03,171462432,3,46.47
Ha412HOChr11,197832769,11,80.59
Ha412HOChr10,49721859,10,42.84
Ha412HOChr10,171431931,10,51.55
Ha412HOChr08,42173471,8,45.38
Ha412HOChr10,136346082,10,42.84
Ha412HOChr06,10344094,6,18.88
Ha412HOChr10,115398111,10,42.84
Ha412HOChr17,25376830,17,39.21
Ha412HOChr10,31698737,10,42.11
Ha412HOChr10,25136815,10,38.48
Ha412HOChr14,96263255,14,10.16
Ha412HOChr17,4874817,17,12.34
Ha412HOChr12,9608119,12,0.00
Ha412HOChr17,65157179,17,53.73
Ha412HOChr04,200675969,4,60.26
Ha412HOChr04,153261560,4,47.56
Ha412HOChr01,81898558,17,12.34
Ha412HOChr09,109793704,9,22.14
Ha412HOChr02,157701692,2,31.95
Ha412HOChr15,60202729,5,47.56
Ha412HOChr02,155881663,2,29.77
Ha412HOChr12,105667815,12,57.36
Ha412HOChr17,3185394,7,0.00
Ha412HOChr15,23518487,3,26.14
Ha412HOChr05,14209990,3,26.14
Ha412HOChr09,105440643,9,22.14
Ha412HOChr13,118868945,13,51.19
Ha412HOChr08,589724,8,0.00
Ha412HOChr10,116259965,10,42.84
Ha412HOChr07,1464475,7,0.00
Ha412HOChr14,154896474,14,43.20
Ha412HOChr03,98626842,3,26.14
Ha412HOChr15,26643469,3,27.59
Ha412HOChr05,54889387,5,47.56
Ha412HOChr08,1448764,8,2.90
Ha412HOChr09,124347531,9,27.59
Ha412HOChr09,143409186,9,41.02
Ha412HOChr10,46212374,10,42.84
Ha412HOChr16,197736252,16,62.44
Ha412HOChr05,1980270,5,5.08
Ha412HOChr06,11746581,6,21.06
Ha412HOChr01,123862847,1,27.95
Ha412HOChr05,2841317,5,6.53
Ha412HOChr09,175035090,9,53.00
Ha412HOChr01,153469697,8,2.90
Ha412HOChr16,164581832,16,49.37
Ha412HOChr03,181282590,3,71.88
Ha412HOChr14,153208609,14,41.75
Ha412HOChr09,182030411,9,55.54
Ha412HOChr14,142498706,14,36.30
Ha412HOChr05,152627644,5,53.37
Ha412HOChr06,154786831,6,60.26
Ha412HOChr13,78956556,13,14.52
Ha412HOChr07,121886847,7,15.97
Ha412HOChr06,151018622,6,58.81
Ha412HOChr07,123107615,7,15.97
Ha412HOChr05,38203601,5,47.56
Ha412HOChr10,159869257,10,49.37
Ha412HOChr09,123540526,9,27.59
Ha412HOChr14,182752301,14,63.17
Ha412HOChr15,68872249,5,53.37
Ha412HOChr16,21331026,16,33.04
Ha412HOChr10,164487558,10,50.10
Ha412HOChr08,46612853,8,46.10
Ha412HOChr06,139684831,6,58.81
Ha412HOChr12,14755071,12,23.96
Ha412HOChr06,11854441,6,21.06
Ha412HOChr16,215298282,15,35.94
Ha412HOChr12,15253647,12,25.41
Ha412HOChr06,10517444,6,18.88
Ha412HOChr15,118150834,15,59.54
Ha412HOChr17,159660109,17,55.18
Ha412HOChr05,163592976,5,53.37
Ha412HOChr08,16945420,15,58.81
Ha412HOChr05,164929324,5,53.37
Ha412HOChr08,9924472,8,15.97
Ha412HOChr03,176626048,3,57.36
Ha412HOChr14,102582784,14,10.16
Ha412HOChr13,79491618,13,17.43
Ha412HOChr16,3175844,16,2.90
Ha412HOChr08,58596432,8,51.91
Ha412HOChr04,6658513,4,25.41
Ha412HOChr12,27014318,12,34.12
Ha412HOChr08,118406773,8,70.43
Ha412HOChr02,172842249,2,38.48
Ha412HOChr10,170137852,10,50.82
Ha412HOChr14,143450815,14,38.12
Ha412HOChr12,66048842,12,48.65
Ha412HOChr13,62875730,13,3.99
Ha412HOChr10,142252916,10,42.84
Ha412HOChr12,4628878,12,12.71
Ha412HOChr05,161427479,5,53.37
