mds_coord	betweenSS	het_pvalue	window_cluster	location
mds01-neg	0.990969867482782	2.9599999999999993e-134	2.96	HanXRQChr15:120MB
mds02-pos	0.9839593390001855	1.3399999999999995e-106	3.86	HanXRQChr13:67MB
mds04-neg	0.9958135239063273	6.829999999999999e-124	1.47	HanXRQChr05:188MB
mds06-neg	0.9901083070718179	1.34e-41	6.03	HanXRQChr11:64MB
mds08-pos	0.982772035888167	3.72e-59	4.51	HanXRQChr14:100MB
mds11-neg	0.9827045914565014	1.22e-38	1.35	HanXRQChr13:159MB
mds15-pos	0.969027526943603	4.41e-33	1.38	HanXRQChr16:19MB
mds18-pos	0.9880467098717983	1.39e-24	1.47	HanXRQChr17:199MB
mds19-pos	0.9651279824440288	1.0999999999999999e-80	38.67	HanXRQChr08:139MB
mds25-pos	0.9154688885833027	1.97e-12	5.8	HanXRQChr10:113MB
mds26-pos	0.9808123567764526	4.22e-17	2.4	HanXRQChr16:120MB
mds28-pos	0.9545704638082522	4.87e-26	5.64	HanXRQChr17:101MB
mds29-neg	0.9850288047896141	6.9e-22	4.1	HanXRQChr17:91MB
mds30-neg	0.8763007355877879	0.0493	20	HanXRQChr10:116MB
mds31-pos	0.8708062879483349	0.00267	4.18	HanXRQChr02:86MB
mds32-pos	0.937034173809282	3.33e-17	6.44	HanXRQChr05:86MB
mds32-neg	0.9368998101907288	4.07e-21	14.67	HanXRQChr10:113MB
mds34-pos	0.8993820791625862	1.8000000000000003e-21	19.8	HanXRQChr11:91MB
mds35-pos	0.8703124084493867	9.65e-16	6.34	HanXRQChr02:89MB
mds36-neg	0.8618382883160923	NA	11.45	HanXRQChr10:116MB
mds37-neg	0.9310862604210908	2.6e-15	31.18	HanXRQChr11:73MB
mds38-pos	0.9550682106720295	1.65e-15	20.91	HanXRQChr04:69MB
mds38-neg	0.8863859692250488	6.7e-5	4.54	HanXRQChr10:126MB
mds39-pos	0.908190746936976	6.58e-14	12.59	HanXRQChr03:79MB
mds39-neg	0.8241937917183029	0.0031	28.55	HanXRQChr07:28MB
mds40-pos	0.9254645049289061	1.68e-11	9.83	HanXRQChr02:87MB
mds40-neg	0.9847470556122617	9.44e-42	5.75	HanXRQChr01:14MB
