chr	window	sample1	sample2	ibd_dist	sites
Ha412HOChr01	0	GSD2031	GSD1375	705	2270
Ha412HOChr01	0	GSD2031	GSD1258	474	2410
Ha412HOChr01	0	GSD1375	GSD1258	831.5	2434
Ha412HOChr01	0	GSD1169	GSD2031	955	2392
Ha412HOChr01	0	GSD1169	GSD1375	878.5	2466
Ha412HOChr01	0	GSD1169	GSD1258	990	2576
Ha412HOChr01	1000000	GSD2031	GSD1375	1487	4188
Ha412HOChr01	1000000	GSD2031	GSD1258	1498	4436
Ha412HOChr01	1000000	GSD1375	GSD1258	1637.5	4550
Ha412HOChr01	1000000	GSD1169	GSD2031	1709.5	4596
Ha412HOChr01	1000000	GSD1169	GSD1375	1757	4608
Ha412HOChr01	1000000	GSD1169	GSD1258	1826.5	4890
Ha412HOChr01	10000000	GSD2031	GSD1375	977.5	2966
Ha412HOChr01	10000000	GSD2031	GSD1258	1149	3018
Ha412HOChr01	10000000	GSD1375	GSD1258	1365.5	3142
Ha412HOChr01	10000000	GSD1169	GSD2031	924	3148
Ha412HOChr01	10000000	GSD1169	GSD1375	1164	3244
Ha412HOChr01	10000000	GSD1169	GSD1258	1160.5	3310
Ha412HOChr01	100000000	GSD2031	GSD1375	201.5	596
Ha412HOChr01	100000000	GSD2031	GSD1258	227	662
Ha412HOChr01	100000000	GSD1375	GSD1258	82	656
Ha412HOChr01	100000000	GSD1169	GSD2031	189	628
Ha412HOChr01	100000000	GSD1169	GSD1375	75	594
Ha412HOChr01	100000000	GSD1169	GSD1258	99	676
Ha412HOChr01	101000000	GSD2031	GSD1375	289	1022
Ha412HOChr01	101000000	GSD2031	GSD1258	281	1154
Ha412HOChr01	101000000	GSD1375	GSD1258	293	1044
Ha412HOChr01	101000000	GSD1169	GSD2031	238	1160
Ha412HOChr01	101000000	GSD1169	GSD1375	271	1050
Ha412HOChr01	101000000	GSD1169	GSD1258	296	1202
Ha412HOChr01	102000000	GSD2031	GSD1375	566	2208
Ha412HOChr01	102000000	GSD2031	GSD1258	456	2314
Ha412HOChr01	102000000	GSD1375	GSD1258	581.5	2186
Ha412HOChr01	102000000	GSD1169	GSD2031	494.5	2376
Ha412HOChr01	102000000	GSD1169	GSD1375	594	2282
Ha412HOChr01	102000000	GSD1169	GSD1258	566	2442
Ha412HOChr01	103000000	GSD2031	GSD1375	340	1456
Ha412HOChr01	103000000	GSD2031	GSD1258	258.5	1474
Ha412HOChr01	103000000	GSD1375	GSD1258	211.5	1456
Ha412HOChr01	103000000	GSD1169	GSD2031	196.5	1596
Ha412HOChr01	103000000	GSD1169	GSD1375	442.5	1586
Ha412HOChr01	103000000	GSD1169	GSD1258	321.5	1626
Ha412HOChr01	104000000	GSD2031	GSD1375	346	2140
Ha412HOChr01	104000000	GSD2031	GSD1258	445.5	2208
Ha412HOChr01	104000000	GSD1375	GSD1258	380.5	2336
Ha412HOChr01	104000000	GSD1169	GSD2031	918	2276
Ha412HOChr01	104000000	GSD1169	GSD1375	1109.5	2412
Ha412HOChr01	104000000	GSD1169	GSD1258	1079	2488
Ha412HOChr01	105000000	GSD2031	GSD1375	48	836
Ha412HOChr01	105000000	GSD2031	GSD1258	114	954
Ha412HOChr01	105000000	GSD1375	GSD1258	102	908
Ha412HOChr01	105000000	GSD1169	GSD2031	406	922
Ha412HOChr01	105000000	GSD1169	GSD1375	399	862
Ha412HOChr01	105000000	GSD1169	GSD1258	457	1010
Ha412HOChr01	106000000	GSD2031	GSD1375	749	2164
Ha412HOChr01	106000000	GSD2031	GSD1258	300	2304
Ha412HOChr01	106000000	GSD1375	GSD1258	833	2166
Ha412HOChr01	106000000	GSD1169	GSD2031	1272.5	2392
Ha412HOChr01	106000000	GSD1169	GSD1375	578	2328
Ha412HOChr01	106000000	GSD1169	GSD1258	1282	2388
Ha412HOChr01	107000000	GSD2031	GSD1375	1016.5	2790
Ha412HOChr01	107000000	GSD2031	GSD1258	414.5	2962
Ha412HOChr01	107000000	GSD1375	GSD1258	1125.5	2980
Ha412HOChr01	107000000	GSD1169	GSD2031	1267	2814
Ha412HOChr01	107000000	GSD1169	GSD1375	954.5	3006
Ha412HOChr01	107000000	GSD1169	GSD1258	1405.5	2990
Ha412HOChr01	108000000	GSD2031	GSD1375	142	1346
Ha412HOChr01	108000000	GSD2031	GSD1258	104	1420
Ha412HOChr01	108000000	GSD1375	GSD1258	147	1320
Ha412HOChr01	108000000	GSD1169	GSD2031	433.5	1462
Ha412HOChr01	108000000	GSD1169	GSD1375	389	1370
Ha412HOChr01	108000000	GSD1169	GSD1258	437.5	1454
Ha412HOChr01	109000000	GSD2031	GSD1375	639	1894
Ha412HOChr01	109000000	GSD2031	GSD1258	777	1952
Ha412HOChr01	109000000	GSD1375	GSD1258	811.5	1952
Ha412HOChr01	109000000	GSD1169	GSD2031	842	2076
Ha412HOChr01	109000000	GSD1169	GSD1375	871.5	2078
Ha412HOChr01	109000000	GSD1169	GSD1258	376.5	2224
Ha412HOChr01	11000000	GSD2031	GSD1375	368	1304
Ha412HOChr01	11000000	GSD2031	GSD1258	391	1474
Ha412HOChr01	11000000	GSD1375	GSD1258	469	1416
Ha412HOChr01	11000000	GSD1169	GSD2031	475	1482
Ha412HOChr01	11000000	GSD1169	GSD1375	510	1474
Ha412HOChr01	11000000	GSD1169	GSD1258	455	1628
Ha412HOChr01	110000000	GSD2031	GSD1375	434.5	1226
Ha412HOChr01	110000000	GSD2031	GSD1258	481	1314
Ha412HOChr01	110000000	GSD1375	GSD1258	280	1288
Ha412HOChr01	110000000	GSD1169	GSD2031	335	1378
Ha412HOChr01	110000000	GSD1169	GSD1375	571	1348
Ha412HOChr01	110000000	GSD1169	GSD1258	616.5	1418
Ha412HOChr01	111000000	GSD2031	GSD1375	579.5	1576
Ha412HOChr01	111000000	GSD2031	GSD1258	579	1620
Ha412HOChr01	111000000	GSD1375	GSD1258	413	1600
Ha412HOChr01	111000000	GSD1169	GSD2031	550	1832
