mds_coord	betweenSS	het_pvalue	window_cluster	location
mds03-pos	0.989025267147549	3.91e-22	4.49	HanXRQChr11:62MB
mds04-pos	0.9610607454269449	0.771	67.8	HanXRQChr12:20MB
mds05-pos	0.9848300338646222	0.0608	3.32	HanXRQChr14:142MB
mds09-neg	0.9947498039012554	1.34e-26	4.11	HanXRQChr01:38MB
mds12-pos	0.9855357312490972	2.33e-10	1.9	HanXRQChr05:194MB
mds12-neg	0.9789090793100299	3.92e-10	3.28	HanXRQChr09:137MB
mds13-pos	0.9960224181122957	0.527	5.68	HanXRQChr07:62MB
mds13-neg	0.9829819780554231	0.56	1.98	HanXRQChr17:21MB
mds23-pos	0.9751901996815323	NA	1.57	HanXRQChr06:60MB
mds24-pos	0.9735947988579092	0.656	3.09	HanXRQChr17:198MB
mds31-pos	0.9744566647445753	0.00175	3.35	HanXRQChr02:72MB
mds33-neg	0.9417717621886228	NA	17.2	HanXRQChr09:96MB
mds34-pos	0.926041005212275	NA	13.67	HanXRQChr09:93MB
mds34-neg	0.980765157290094	NA	1.39	HanXRQChr16:11MB
mds35-neg	0.9295297502099149	NA	3.6	HanXRQChr14:49MB
mds36-pos	0.9729298314833719	0.394	2.67	HanXRQChr08:98MB
mds37-pos	0.9702894622664738	5.59e-20	25.09	HanXRQChr01:34MB
mds37-neg	0.9645818277907103	NA	15.82	HanXRQChr10:108MB
mds38-pos	0.9720177092042722	NA	3.21	HanXRQChr17:56MB
mds40-pos	0.9592485608194099	NA	5.56	HanXRQChr09:85MB
mds40-neg	0.9223135038627239	NA	3	HanXRQChr14:49MB
