mds_coord	betweenSS	het_pvalue	window_cluster	location
mds03-neg	0.986391589380853	5.79e-7	4.08	HanXRQChr03:54MB
mds04-pos	0.9960665698080966	1.14e-20	2.39	HanXRQChr10:227MB
mds06-pos	0.9663453057437125	5.06e-16	2.55	HanXRQChr06:95MB
mds14-neg	0.9894061989015241	NA	1.38	HanXRQChr01:37MB
mds15-neg	0.9867730124555569	2.78e-18	11.21	HanXRQChr07:30MB
mds16-pos	0.9470172566793487	NA	7.59	HanXRQChr11:101MB
mds18-pos	0.9493354953811414	9.99e-38	8	HanXRQChr01:95MB
mds18-neg	0.9943051724688621	3.3699999999999996e-37	1.33	HanXRQChr16:170MB
mds20-neg	0.9868846504958961	5.13e-53	2.83	HanXRQChr04:152MB
mds21-neg	0.9807570782958882	2.98e-4	12.87	HanXRQChr03:39MB
mds23-pos	0.9293080079918097	5.07e-7	9.05	HanXRQChr17:131MB
mds25-neg	0.8807221378589751	0.00115	3.96	HanXRQChr17:117MB
mds26-pos	0.9781256924060266	NA	7.14	HanXRQChr17:95MB
mds26-neg	0.9561891593874244	1.13e-10	24.4	HanXRQChr11:85MB
mds29-neg	0.9703394076114709	NA	8.34	HanXRQChr14:32MB
mds30-pos	0.9671179974267888	1.01e-4	44	HanXRQChr11:95MB
mds31-neg	0.9594165781486451	9.13e-24	4.62	HanXRQChr16:58MB
mds33-neg	0.9112201424479593	3.55e-5	1.95	HanXRQChr05:89MB
mds36-pos	0.968778755510993	3.51e-14	22.67	HanXRQChr11:108MB
mds36-neg	0.9470719853907639	0.198	3.87	HanXRQChr02:85MB
mds39-pos	0.9465318112291577	1.81e-6	1.8	HanXRQChr17:134MB
mds40-pos	0.9348584204187624	3.57e-8	39.25	HanXRQChr11:100MB
mds40-neg	0.9914060644490128	7.439999999999999e-57	2.2	HanXRQChr01:120MB
