chr	start	end	id	variable
Ha412HOChr05	169907868	169913127	Ha412HOChr05g0237631	OM
Ha412HOChr10	43487426	43489355	Ha412HOChr10g0442301	OM
Ha412HOChr10	43492498	43495624	Ha412HOChr10g0442321	OM
Ha412HOChr10	43490236	43491934	Ha412HOChr10g0442311	OM
Ha412HOChr10	148468452	148472944	Ha412HOChr10g0462151	OM
Ha412HOChr03	175008007	175009965	Ha412HOChr03g0139991	P1
Ha412HOChr05	114886849	114897347	Ha412HOChr05g0222901	P1
Ha412HOChr15	121875388	121884445	Ha412HOChr15g0732481	P1
Ha412HOChr15	185810475	185813987	Ha412HOChr15g0746341	P1
Ha412HOChr16	122153103	122157214	Ha412HOChr16g0774441	P1
Ha412HOChr16	122158440	122163046	Ha412HOChr16g0774451	P1
Ha412HOChr04	9747017	9760603	Ha412HOChr04g0149001	P2
Ha412HOChr04	9758902	9759193	Ha412HOChr04g0149021	P2
Ha412HOChr04	9793402	9803259	Ha412HOChr04g0149031	P2
Ha412HOChr04	9838555	9841185	Ha412HOChr04g0149051	P2
Ha412HOChr04	9874519	9894758	Ha412HOChr04g0149091	P2
Ha412HOChr09	111995060	111996913	Ha412HOChr09g0394451	P2
Ha412HOChr04	197673355	197676793	Ha412HOChr04g0188641	BICARB
Ha412HOChr08	42475476	42489686	Ha412HOChr08g0344781	BICARB
Ha412HOChr11	173240433	173246906	Ha412HOChr11g0522071	BICARB
Ha412HOChr15	106733807	106735220	Ha412HOChr15g0728001	BICARB
Ha412HOChr01	101202030	101206538	Ha412HOChr01g0026261	K
Ha412HOChr01	104144571	104150504	Ha412HOChr01g0027041	K
Ha412HOChr01	109813664	109820047	Ha412HOChr01g0027911	K
Ha412HOChr09	110516717	110517470	Ha412HOChr09g0394181	K
Ha412HOChr09	111490142	111495577	Ha412HOChr09g0394361	K
Ha412HOChr09	111889166	111900565	Ha412HOChr09g0394411	K
Ha412HOChr09	111995060	111996913	Ha412HOChr09g0394451	K
Ha412HOChr09	112505150	112508714	Ha412HOChr09g0394561	K
Ha412HOChr09	112542690	112543026	Ha412HOChr09g0394611	K
Ha412HOChr03	103960399	103964417	Ha412HOChr03g0114311	MG
Ha412HOChr03	103963435	103966235	Ha412HOChr03g0114321	MG
Ha412HOChr05	117431872	117438557	Ha412HOChr05g0223301	MG
Ha412HOChr05	117477446	117483532	Ha412HOChr05g0223361	MG
Ha412HOChr05	142279673	142280425	Ha412HOChr05g0229291	MG
Ha412HOChr10	128518286	128528797	Ha412HOChr10g0457191	MG
Ha412HOChr12	93131191	93140832	Ha412HOChr12g0564781	MG
Ha412HOChr10	164819588	164821306	Ha412HOChr10g0467211	CA
Ha412HOChr10	179231416	179234012	Ha412HOChr10g0472321	CA
Ha412HOChr10	183758912	183768870	Ha412HOChr10g0474311	CA
Ha412HOChr12	37963423	37972227	Ha412HOChr12g0550691	CA
Ha412HOChr13	123156570	123165501	Ha412HOChr13g0612441	CA
Ha412HOChr05	33508758	33514424	Ha412HOChr05g0209461	sodium
Ha412HOChr05	33524091	33525052	Ha412HOChr05g0209471	sodium
Ha412HOChr05	35027157	35031004	Ha412HOChr05g0209761	sodium
Ha412HOChr09	30500993	30502407	Ha412HOChr09g0379791	sodium
Ha412HOChr10	174349580	174354101	Ha412HOChr10g0470591	sodium
Ha412HOChr01	61502393	61505484	Ha412HOChr01g0013531	pH
Ha412HOChr01	61831978	61832994	Ha412HOChr01g0013621	pH
Ha412HOChr01	62153309	62154925	Ha412HOChr01g0013751	pH
Ha412HOChr05	141034267	141041123	Ha412HOChr05g0229051	pH
Ha412HOChr16	21400262	21403556	Ha412HOChr16g0755251	pH
Ha412HOChr16	21413771	21416233	Ha412HOChr16g0755261	pH
Ha412HOChr10	179231416	179234012	Ha412HOChr10g0472321	CEC
Ha412HOChr10	183758912	183768870	Ha412HOChr10g0474311	CEC
Ha412HOChr12	37963423	37972227	Ha412HOChr12g0550691	CEC
Ha412HOChr13	123156570	123165501	Ha412HOChr13g0612441	CEC
Ha412HOChr06	73693457	73696600	Ha412HOChr06g0271251	PERCENT_K
Ha412HOChr06	73704764	73709710	Ha412HOChr06g0271261	PERCENT_K
Ha412HOChr17	131654571	131681050	Ha412HOChr17g0841291	PERCENT_K
Ha412HOChr17	131771677	131773342	Ha412HOChr17g0841351	PERCENT_K
Ha412HOChr17	131773785	131774340	Ha412HOChr17g0841361	PERCENT_K
Ha412HOChr17	131831263	131831953	Ha412HOChr17g0841381	PERCENT_K
Ha412HOChr01	61502393	61505484	Ha412HOChr01g0013531	PERCENT_MG
Ha412HOChr01	92995885	93000009	Ha412HOChr01g0024011	PERCENT_MG
Ha412HOChr10	117575885	117576433	Ha412HOChr10g0455021	PERCENT_MG
Ha412HOChr10	117575885	117576433	Ha412HOChr10g0455021	PERCENT_CA
Ha412HOChr10	128518286	128528797	Ha412HOChr10g0457191	PERCENT_CA
Ha412HOChr10	174016561	174018967	Ha412HOChr10g0470441	PERCENT_CA
Ha412HOChr10	174349580	174354101	Ha412HOChr10g0470591	PERCENT_CA
Ha412HOChr10	181388398	181404331	Ha412HOChr10g0473201	PERCENT_CA
Ha412HOChr04	59408204	59419156	Ha412HOChr04g0162561	PERCENT_NA
Ha412HOChr05	33508758	33514424	Ha412HOChr05g0209461	PERCENT_NA
Ha412HOChr09	30500993	30502407	Ha412HOChr09g0379791	PERCENT_NA
Ha412HOChr10	174016561	174018967	Ha412HOChr10g0470441	PERCENT_NA
Ha412HOChr10	174349580	174354101	Ha412HOChr10g0470591	PERCENT_NA
Ha412HOChr10	181388398	181404331	Ha412HOChr10g0473201	PERCENT_NA
Ha412HOChr15	120285191	120286609	Ha412HOChr15g0731971	PERCENT_NA
Ha412HOChr05	33757179	33760734	Ha412HOChr05g0209521	SOL_SALTS
Ha412HOChr05	112057101	112060681	Ha412HOChr05g0222341	SOL_SALTS
Ha412HOChr05	112256925	112292611	Ha412HOChr05g0222351	SOL_SALTS
Ha412HOChr10	43064432	43069080	Ha412HOChr10g0442191	SOL_SALTS
Ha412HOChr10	43071390	43071972	Ha412HOChr10g0442201	SOL_SALTS
Ha412HOChr11	18523181	18524986	Ha412HOChr11g0487391	SOL_SALTS
Ha412HOChr11	174933624	174935710	Ha412HOChr11g0522581	SOL_SALTS
Ha412HOChr02	125093367	125101597	Ha412HOChr02g0073571	latitude_e
Ha412HOChr02	163476160	163476764	Ha412HOChr02g0082881	longitude_e
Ha412HOChr08	65025794	65037860	Ha412HOChr08g0350681	longitude_e
Ha412HOChr08	65035242	65038340	Ha412HOChr08g0350691	longitude_e
Ha412HOChr09	157155841	157158292	Ha412HOChr09g0410211	longitude_e
Ha412HOChr15	180377273	180391976	Ha412HOChr15g0743661	longitude_e
Ha412HOChr02	125093367	125101597	Ha412HOChr02g0073571	elevation_e
Ha412HOChr15	66885945	66887356	Ha412HOChr15g0718881	elevation_e
Ha412HOChr15	185810475	185813987	Ha412HOChr15g0746341	elevation_e
Ha412HOChr09	158699701	158712306	Ha412HOChr09g0410601	MAT_e
Ha412HOChr01	116559665	116562334	Ha412HOChr01g0029581	MWMT_e
Ha412HOChr08	84198985	84203532	Ha412HOChr08g0354101	MWMT_e
Ha412HOChr08	84202784	84217659	Ha412HOChr08g0354111	MWMT_e
Ha412HOChr08	84204739	84207108	Ha412HOChr08g0354121	MWMT_e
Ha412HOChr13	130307497	130315295	Ha412HOChr13g0614701	MWMT_e
Ha412HOChr02	125093367	125101597	Ha412HOChr02g0073571	MCMT_e
Ha412HOChr05	128310818	128318429	Ha412HOChr05g0226001	MCMT_e
Ha412HOChr02	125093367	125101597	Ha412HOChr02g0073571	TD_e
Ha412HOChr05	20941820	20948138	Ha412HOChr05g0206771	TD_e
Ha412HOChr05	21058737	21065672	Ha412HOChr05g0206801	TD_e
Ha412HOChr05	21318525	21326425	Ha412HOChr05g0206921	TD_e
Ha412HOChr05	21414405	21419616	Ha412HOChr05g0206991	TD_e
Ha412HOChr05	21422298	21437022	Ha412HOChr05g0207001	TD_e
Ha412HOChr05	128310818	128318429	Ha412HOChr05g0226001	TD_e
Ha412HOChr15	66885945	66887356	Ha412HOChr15g0718881	TD_e
Ha412HOChr05	159253637	159264833	Ha412HOChr05g0234291	MAP_e
Ha412HOChr05	159261700	159263428	Ha412HOChr05g0234301	MAP_e
Ha412HOChr09	157155841	157158292	Ha412HOChr09g0410211	MAP_e
Ha412HOChr10	43490236	43491934	Ha412HOChr10g0442311	MAP_e
Ha412HOChr10	97778481	97779333	Ha412HOChr10g0450891	MAP_e
Ha412HOChr14	83170973	83177208	Ha412HOChr14g0653481	MAP_e
Ha412HOChr15	180377273	180391976	Ha412HOChr15g0743661	MAP_e
Ha412HOChr01	56557500	56565787	Ha412HOChr01g0012411	MSP_e
Ha412HOChr01	56702833	56718814	Ha412HOChr01g0012421	MSP_e
Ha412HOChr01	56708140	56708615	Ha412HOChr01g0012431	MSP_e
Ha412HOChr06	151468211	151475312	Ha412HOChr06g0285351	MSP_e
Ha412HOChr09	157155841	157158292	Ha412HOChr09g0410211	MSP_e
Ha412HOChr15	48076673	48078212	Ha412HOChr15g0712791	MSP_e
Ha412HOChr15	180377273	180391976	Ha412HOChr15g0743661	MSP_e
Ha412HOChr05	159253637	159264833	Ha412HOChr05g0234291	AHM_e
Ha412HOChr05	159261700	159263428	Ha412HOChr05g0234301	AHM_e
Ha412HOChr09	157155841	157158292	Ha412HOChr09g0410211	AHM_e
Ha412HOChr10	97778481	97779333	Ha412HOChr10g0450891	AHM_e
Ha412HOChr15	180309750	180311573	Ha412HOChr15g0743631	AHM_e
Ha412HOChr01	56557500	56565787	Ha412HOChr01g0012411	SHM_e
Ha412HOChr01	56702833	56718814	Ha412HOChr01g0012421	SHM_e
Ha412HOChr01	56708140	56708615	Ha412HOChr01g0012431	SHM_e
Ha412HOChr06	151468211	151475312	Ha412HOChr06g0285351	SHM_e
Ha412HOChr09	157155841	157158292	Ha412HOChr09g0410211	SHM_e
Ha412HOChr15	587364	588064	Ha412HOChr15g0693351	SHM_e
Ha412HOChr15	48076673	48078212	Ha412HOChr15g0712791	SHM_e
Ha412HOChr15	180377273	180391976	Ha412HOChr15g0743661	SHM_e
Ha412HOChr02	125093367	125101597	Ha412HOChr02g0073571	DD_0_e
Ha412HOChr04	6404546	6413397	Ha412HOChr04g0147971	DD_0_e
Ha412HOChr05	128270979	128276957	Ha412HOChr05g0225991	DD_0_e
Ha412HOChr05	128310818	128318429	Ha412HOChr05g0226001	DD_0_e
Ha412HOChr09	158699701	158712306	Ha412HOChr09g0410601	DD5_e
Ha412HOChr02	125093367	125101597	Ha412HOChr02g0073571	DD_18_e
Ha412HOChr07	121937839	121940664	Ha412HOChr07g0309391	DD18_e
Ha412HOChr09	158699701	158712306	Ha412HOChr09g0410601	DD18_e
Ha412HOChr02	173292357	173295777	Ha412HOChr02g0085961	NFFD_e
Ha412HOChr04	6404546	6413397	Ha412HOChr04g0147971	NFFD_e
Ha412HOChr04	6413958	6415715	Ha412HOChr04g0147981	NFFD_e
Ha412HOChr14	174235838	174236736	Ha412HOChr14g0683021	NFFD_e
Ha412HOChr02	163476160	163476764	Ha412HOChr02g0082881	bFFP_e
Ha412HOChr08	65025794	65037860	Ha412HOChr08g0350681	bFFP_e
Ha412HOChr08	65000748	65001195	Ha412HOChr08g0350671	bFFP_e
Ha412HOChr08	65046011	65052636	Ha412HOChr08g0350711	bFFP_e
Ha412HOChr08	65035242	65038340	Ha412HOChr08g0350691	bFFP_e
Ha412HOChr08	65039278	65049390	Ha412HOChr08g0350701	bFFP_e
Ha412HOChr08	66036971	66037255	Ha412HOChr08g0350801	bFFP_e
Ha412HOChr02	163476160	163476764	Ha412HOChr02g0082881	eFFP_e
Ha412HOChr08	65025794	65037860	Ha412HOChr08g0350681	eFFP_e
Ha412HOChr08	65000748	65001195	Ha412HOChr08g0350671	eFFP_e
Ha412HOChr08	65046011	65052636	Ha412HOChr08g0350711	eFFP_e
Ha412HOChr08	65035242	65038340	Ha412HOChr08g0350691	eFFP_e
Ha412HOChr08	65039278	65049390	Ha412HOChr08g0350701	eFFP_e
Ha412HOChr02	163476160	163476764	Ha412HOChr02g0082881	FFP_e
Ha412HOChr08	65025794	65037860	Ha412HOChr08g0350681	FFP_e
Ha412HOChr08	65000748	65001195	Ha412HOChr08g0350671	FFP_e
Ha412HOChr08	65046011	65052636	Ha412HOChr08g0350711	FFP_e
Ha412HOChr08	65035242	65038340	Ha412HOChr08g0350691	FFP_e
Ha412HOChr08	65039278	65049390	Ha412HOChr08g0350701	FFP_e
Ha412HOChr08	66036971	66037255	Ha412HOChr08g0350801	FFP_e
Ha412HOChr02	163476160	163476764	Ha412HOChr02g0082881	EXT_e
Ha412HOChr08	65025794	65037860	Ha412HOChr08g0350681	EXT_e
Ha412HOChr08	65000748	65001195	Ha412HOChr08g0350671	EXT_e
Ha412HOChr08	65046011	65052636	Ha412HOChr08g0350711	EXT_e
Ha412HOChr08	65035242	65038340	Ha412HOChr08g0350691	EXT_e
Ha412HOChr08	65039278	65049390	Ha412HOChr08g0350701	EXT_e
Ha412HOChr08	65722195	65722612	Ha412HOChr08g0350771	EXT_e
