chr	variable	window	start	end	median_bayes
Ha412HOChr01	elevation_e	605	36761271	36934139	12.225623375000001
Ha412HOChr01	longitude_e	439	24007445	24013239	27.372924515
Ha412HOChr01	longitude_e	440	24013269	24018628	33.533321705
Ha412HOChr01	longitude_e	441	24018703	24113297	25.788718629999998
Ha412HOChr01	longitude_e	473	30043692	30098663	21.538327680000002
Ha412HOChr01	MSP_e	440	24013269	24018628	17.94679043
Ha412HOChr02	CMD_e	1960	123983188	123995126	7.90853849
Ha412HOChr02	CMD_e	1961	123995187	124082057	9.31299697
Ha412HOChr02	elevation_e	1585	101515177	101526035	12.179400785
Ha412HOChr02	elevation_e	1586	101526570	101530146	12.48375099
Ha412HOChr02	longitude_e	1622	103793771	103863876	17.87841016
Ha412HOChr02	MAP_e	1960	123983188	123995126	8.408736495
Ha412HOChr02	MAP_e	1961	123995187	124082057	10.305226184999999
Ha412HOChr02	RH_e	2873	169148275	169247500	9.176595559999999
Ha412HOChr03	AHM_e	1765	96303657	96305754	3.34797692
Ha412HOChr03	bFFP_e	3804	180996756	180998865	11.955039905
Ha412HOChr03	DD_0_e	3804	180996756	180998865	21.7256054
Ha412HOChr03	DD_18_e	3804	180996756	180998865	17.61226732
Ha412HOChr03	elevation_e	3803	180991878	180996737	12.206881684999999
Ha412HOChr03	elevation_e	3804	180996756	180998865	18.457015329999997
Ha412HOChr03	longitude_e	3803	180991878	180996737	28.344920405
Ha412HOChr03	longitude_e	3804	180996756	180998865	32.70920589
Ha412HOChr03	MAP_e	3803	180991878	180996737	8.4773941
Ha412HOChr03	MAP_e	3804	180996756	180998865	12.856815825
Ha412HOChr03	MAR_e	1497	80250353	80267561	0.30330727
Ha412HOChr03	MSP_e	3803	180991878	180996737	21.41230537
Ha412HOChr03	MSP_e	3804	180996756	180998865	27.32206233
Ha412HOChr03	MWMT_e	3804	180996756	180998865	16.103757635
Ha412HOChr03	SHM_e	1826	99348346	99451370	15.558559705
Ha412HOChr03	SHM_e	1827	99451385	99518523	11.045040960000001
Ha412HOChr04	AHM_e	3719	210372592	210425835	9.085455425
Ha412HOChr04	bFFP_e	1219	76487114	76503165	12.168758879999999
Ha412HOChr04	DD18_e	1215	76398121	76412298	12.35934937
Ha412HOChr04	DD18_e	1217	76462483	76482799	10.344952635
Ha412HOChr04	DD18_e	1219	76487114	76503165	11.83531157
Ha412HOChr04	DD5_e	1215	76398121	76412298	12.981961590000001
Ha412HOChr04	DD5_e	1219	76487114	76503165	12.194878465
Ha412HOChr04	elevation_e	1189	75522547	75540750	12.275909089999999
Ha412HOChr04	elevation_e	1195	75834275	75851169	13.22451401
Ha412HOChr04	elevation_e	1219	76487114	76503165	13.998237334999999
Ha412HOChr04	EMT_e	1215	76398121	76412298	17.196712635
Ha412HOChr04	Eref_e	3719	210372592	210425835	6.124243305
Ha412HOChr04	FFP_e	1219	76487114	76503165	12.658122729999999
Ha412HOChr04	longitude_e	2375	161703260	161729682	17.85484295
Ha412HOChr04	MAT_e	1215	76398121	76412298	13.506329045000001
Ha412HOChr04	MWMT_e	3719	210372592	210425835	8.355863325
Ha412HOChr04	NFFD_e	1215	76398121	76412298	12.622164815
Ha412HOChr04	SHM_e	3719	210372592	210425835	29.03886435
Ha412HOChr04	TD_e	363	27708992	27711290	14.460678054999999
Ha412HOChr05	CMD_e	1113	52799826	52802870	7.68659731
Ha412HOChr05	CMD_e	1114	52802884	52806576	6.74085122
Ha412HOChr05	MAR_e	1058	49168907	49172966	0.2722759
Ha412HOChr05	MAR_e	1075	49731556	49743880	0.132958225
Ha412HOChr05	MAR_e	1109	52572973	52576073	-0.25848544500000004
Ha412HOChr05	MAR_e	1114	52802884	52806576	0.54501332
Ha412HOChr05	MAR_e	1115	52806582	52884417	0.18893354
Ha412HOChr06	bFFP_e	407	10850573	11023453	14.019079355
Ha412HOChr06	bFFP_e	2522	90178165	90211281	12.80717232
Ha412HOChr06	bFFP_e	2527	90429062	90453561	12.96366266
Ha412HOChr06	CMD_e	3193	135751056	135857138	7.413757029999999
Ha412HOChr06	CMD_e	3194	135857184	135861966	10.31269067
Ha412HOChr06	CMD_e	3195	135862005	135918054	9.2924682
Ha412HOChr06	CMD_e	3196	135918075	136035812	12.124494895000002
Ha412HOChr06	CMD_e	3197	136035813	136122161	10.41567556
Ha412HOChr06	CMD_e	3198	136122165	136125885	8.837200705
Ha412HOChr06	DD5_e	407	10850573	11023453	11.575383550000002
Ha412HOChr06	eFFP_e	407	10850573	11023453	18.560670595
Ha412HOChr06	eFFP_e	2522	90178165	90211281	12.787698765
Ha412HOChr06	eFFP_e	2527	90429062	90453561	14.646026075
Ha412HOChr06	EMT_e	407	10850573	11023453	17.136312845
Ha412HOChr06	FFP_e	407	10850573	11023453	16.214844615
Ha412HOChr06	FFP_e	2522	90178165	90211281	13.165779709999999
Ha412HOChr06	FFP_e	2527	90429062	90453561	13.864236080000001
Ha412HOChr06	MAP_e	3196	135918075	136035812	8.345114814999999
Ha412HOChr06	MSP_e	3195	135862005	135918054	16.7618069
Ha412HOChr06	MSP_e	3196	135918075	136035812	19.011033235
Ha412HOChr06	MSP_e	3197	136035813	136122161	18.305216475
Ha412HOChr06	MSP_e	3198	136122165	136125885	18.266931725
Ha412HOChr06	MSP_e	3199	136146207	136362302	16.176067555
Ha412HOChr06	MSP_e	3200	136362308	136367402	17.57208114
Ha412HOChr06	NFFD_e	407	10850573	11023453	17.801955210000003
Ha412HOChr06	TD_e	2530	90499872	90503657	11.915361785
Ha412HOChr06	TD_e	2531	90503668	90591774	13.672735485
Ha412HOChr07	RH_e	570	34239770	34315854	8.830244350000001
Ha412HOChr07	SHM_e	1274	87529148	87532996	10.557270795
Ha412HOChr08	elevation_e	3424	159419870	159479004	13.743936145
Ha412HOChr08	MAR_e	1907	74141285	74145605	6.756268235
Ha412HOChr08	RH_e	3264	145429150	145434413	8.27341479
Ha412HOChr09	Eref_e	448	44584941	44587945	7.81282809
Ha412HOChr10	DD18_e	1337	62697471	62701918	13.70406466
Ha412HOChr10	DD18_e	1338	62701942	62704603	11.744411809999999
Ha412HOChr10	DD18_e	1342	62914757	62917792	10.353615415
Ha412HOChr10	DD18_e	1345	63011232	63152366	10.39945656
Ha412HOChr10	DD5_e	1337	62697471	62701918	11.3810524
Ha412HOChr10	Eref_e	1644	89551195	89580202	5.77773198
Ha412HOChr10	MAR_e	1660	90194269	90229176	3.43343755
Ha412HOChr10	MAR_e	1661	90271172	90277610	2.493493825
Ha412HOChr10	NFFD_e	1931	105821964	105823358	12.2784419
Ha412HOChr11	elevation_e	2356	127797580	127838296	12.212401114999999
Ha412HOChr11	Eref_e	2574	138646976	138852061	8.406969335
Ha412HOChr11	Eref_e	2575	138852062	138891282	9.39841993
Ha412HOChr11	Eref_e	2576	138891296	138894972	7.02263911
Ha412HOChr11	EXT_e	2352	127611377	127644625	10.038591284999999
Ha412HOChr11	EXT_e	2353	127769179	127783032	12.35009427
Ha412HOChr11	EXT_e	2354	127783120	127788867	15.674679055
Ha412HOChr11	EXT_e	2355	127788872	127797534	11.69248545
Ha412HOChr11	EXT_e	2356	127797580	127838296	16.64523509
Ha412HOChr11	EXT_e	2357	127838327	128149081	10.491137219999999
Ha412HOChr11	EXT_e	2358	128149084	128211098	11.428547145
Ha412HOChr11	EXT_e	2367	129174729	129186164	10.075325775
Ha412HOChr11	EXT_e	2368	129186176	129221571	10.059181685
Ha412HOChr11	MWMT_e	2356	127797580	127838296	8.35016873
Ha412HOChr12	bFFP_e	2278	84198645	84203979	12.338954805
Ha412HOChr12	bFFP_e	2279	84204200	84465094	11.968506770000001
Ha412HOChr12	DD_0_e	1567	51357957	51390327	18.654178299999998
Ha412HOChr12	DD_0_e	1569	51403266	51472668	21.55388868
Ha412HOChr12	DD_0_e	1570	51472705	51485426	28.43374115
Ha412HOChr12	DD_0_e	1571	51485478	51487701	27.972718815
Ha412HOChr12	DD_0_e	1572	51487716	51490883	30.3563632
Ha412HOChr12	DD_0_e	1573	51490908	51496739	29.40852882
Ha412HOChr12	DD_0_e	1574	51496748	51514293	26.56989927
Ha412HOChr12	DD_0_e	1575	51514294	51551723	16.723154365
Ha412HOChr12	DD_0_e	1580	51856668	51900673	18.895129564999998
Ha412HOChr12	DD_18_e	1571	51485478	51487701	13.663349535
Ha412HOChr12	DD_18_e	1572	51487716	51490883	14.570935945
Ha412HOChr12	DD_18_e	1573	51490908	51496739	13.3286223
Ha412HOChr12	Eref_e	3386	164928592	165030323	6.13492029
Ha412HOChr12	Eref_e	3387	165030507	165037897	7.77442413
Ha412HOChr12	Eref_e	3388	165038212	165047085	7.476344225
Ha412HOChr12	latitude_e	1527	46317665	46322286	12.87903036
Ha412HOChr12	latitude_e	1596	55197013	55204086	12.825588884999998
Ha412HOChr12	MAR_e	1644	56696772	56699655	0.078809935
Ha412HOChr12	MCMT_e	1570	51472705	51485426	13.853668035
Ha412HOChr12	MCMT_e	1571	51485478	51487701	13.875092915
Ha412HOChr12	MCMT_e	1572	51487716	51490883	14.81270574
Ha412HOChr12	MCMT_e	1573	51490908	51496739	14.453905845
Ha412HOChr12	RH_e	2586	101275562	101325332	6.592236639999999
Ha412HOChr12	RH_e	2602	101947276	101970604	6.5754563600000004
Ha412HOChr12	SHM_e	1586	54868201	54883662	20.830347565
Ha412HOChr12	SHM_e	1587	54883772	54893846	15.694403095000002
Ha412HOChr12	TD_e	1527	46317665	46322286	15.67962418
Ha412HOChr12	TD_e	1596	55197013	55204086	15.565801915000002
Ha412HOChr13	DD18_e	816	48274577	48280174	12.480394205
